"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"STK","none","17.00","none","none","none","none","none","none","N/A","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","70,315","16.80","16.00","-4.76","17.39","535785.60","-22.16"
"STKL","4.40","5.32","8.83","1.89","288,288","100,038","-15.15%","-20.19%","349.48M","65.69M","57.79M","N/A","N/A","N/A","4.65","0.68","0.68","15.28","0.09","1.13","7.85","0.35","999.98M","57.15M","11.74M","4.55%","3.78%","Jan 1","Jul 2, 2011","4.18%","4.66%","1.47","52.39","5.57M","878.98K","1.40%","863.86K","2.70","160,429","5.01","4.99","-0.40","17.39","431606.49","-17.79"
"STL","6.65","8.11","10.85","0.90","109,330","99,450","-12.98%","-18.02%","250.79M","30.92M","29.48M","0.36","4.30%","Nov 28, 2005","7.07","0.48","0.48","4.05","7.08","1.12","16.97","2.11","116.40M","N/A","13.68M","14.10%","22.21%","Dec 31","Sep 30, 2011","0.66%","7.41%","N/A","N/A","219.05M","1.77M","N/A","1.66M","19.80","130,876","7.81","8.73","11.78","17.39","846424.37","-5.61"
"STLD","8.78","12.48","20.70","1.93","4,167,680","4,935,300","-13.69%","-18.73%","2.73B","218.67M","208.48M","0.40","3.20%","Mar 31, 2008","10.53","1.12","1.12","35.16","2.09","1.15","11.13","0.34","7.67B","784.67M","255.71M","3.34%","7.33%","Dec 31","Sep 30, 2011","6.05%","10.96%","3.48","101.42","456.69M","8.00M","3.80%","7.76M","1.90","3,319,922","12.14","13.18","8.57","17.39","68170883.16","-8.83"
"STLY","2.50","2.94","6.13","1.07","17,617","48,588","-22.22%","-27.26%","42.17M","14.34M","12.86M","N/A","N/A","Jun 7, 2005","3.89","-1.06","-1.06","7.89","1.25","0.75","N/A","0.39","107.70M","-6.80M","-14.54M","-13.50%","-9.86%","Dec 31","Oct 1, 2011","-7.17%","-25.56%","3.30","4.38","17.93M","50.96K","N/A","57.88K","6.40","46,172","3.005","3.00","-0.17","17.39","232250.44","-17.56"
"STM","5.61","7.06","13.53","1.79","3,608,250","3,011,340","-16.75%","-21.79%","6.24B","884.34M","633.24M","0.34","4.60%","May 9, 2000","9.17","1.12","1.12","12.01","3.32","0.76","6.31","0.58","10.59B","1.94B","1.01B","9.51%","6.72%","Dec 31","Jul 2, 2011","3.24%","8.01%","1.94","21.16","2.93B","2.20M","N/A","9.44M","0.60","1,973,219","6.49","6.33","-2.47","17.39","24679438.63","-19.86"
"STMP","10.95","24.01","26.50","0.53","335,132","238,129","71.70%","66.66%","343.05M","14.29M","11.65M","N/A","N/A","May 12, 2004","3.55","0.74","0.74","6.46","1.63","6.96","32.45","3.80","92.81M","11.73M","10.80M","11.63%","11.67%","Dec 31","Jun 30, 2011","9.13%","18.21%","3.23","N/A","23.23M","1.27M","10.50%","779.50K","2.70","419,573","29.48","27.37","-7.16","17.39","36635238.20","-24.55"
"STN","20.96","24.16","31.89","1.44","12,233","8,450","-11.53%","-16.57%","1.10B","45.70M","43.97M","N/A","N/A","May 31, 2006","14.21","2.24","2.24","28.44","0.36","1.63","10.78","0.82","1.30B","185.70M","102.69M","7.90%","10.83%","Dec 31","Jun 30, 2011","7.09%","16.65%","1.73","50.15","16.44M","54.25K","N/A","55.17K","4.10","9,767","22.85","25.84","13.09","17.39","248059.60","-4.31"
"STNG","4.69","5.75","12.18","N/A","129,574","79,213","-50.94%","-55.98%","182.86M","31.80M","20.11M","N/A","N/A","N/A","10.39","-0.37","-0.37","2.80","2.98","0.54","N/A","2.81","63.39M","14.59M","-8.54M","-13.48%","-3.93%","Dec 31","Jun 30, 2011","-0.40%","-3.12%","4.35","58.87","94.61M","1.42M","6.90%","1.42M","9.50","58,455","5.86","6.66","13.65","17.39","551976.84","-3.74"
"STNR","35.94","49.49","51.71","1.17","68,600","59,038","30.48%","25.44%","740.87M","14.97M","13.45M","N/A","N/A","Apr 29, 1998","19.62","3.41","3.41","44.20","3.58","2.36","14.51","1.05","659.81M","75.21M","51.56M","7.81%","9.36%","Dec 31","Jun 30, 2011","9.85%","19.34%","2.04","N/A","53.66M","539.56K","5.40%","505.56K","7.50","71,268","45.43","47.00","3.46","17.39","2202128.39","-13.94"
