Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,Avg Trade Volume,Delta Return,
FXS,none,142.07,none,none,none,none,none,none,3.71%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Rydex|SGI,92.44M,none,none,none,none,none,none,none,none,none,"2,000",146.75,144.8,-1.33,-31.33,774576.65,30,
FXU,none,16.71,none,none,none,none,none,none,7.00%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,First Trust,116.35M,none,none,none,none,none,none,none,none,none,"70,457",17.79,17.93,0.79,-31.33,3201722.76,32.12,
FXY,none,126.76,none,none,none,none,none,none,3.51%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Rydex|SGI,657.09M,none,none,none,none,none,none,none,none,none,"237,066",126.77,127.93,0.92,-31.33,35677444.39,32.25,
FXZ,none,19.73,none,none,none,none,none,none,-10.08%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,First Trust,170.65M,none,none,none,none,none,none,none,none,none,"19,667",21.56,21.25,-1.44,-31.33,1057439.26,29.89,
FYI.V,0.05,0.06,0.54,N/A,"19,911",0,-80.00%,-77.55%,830.50K,15.10M,12.75M,N/A,N/A,18-Jul-11,0.06,N/A,N/A,N/A,0.03,0.95,N/A,N/A,N/A,-494.65K,-4.05M,N/A,N/A,31-Dec,30-Jun-11,-75.34%,-141.19%,3.35,N/A,474.93K,N/A,N/A,N/A,N/A,333,0.055,0.04,-27.27,-31.33,577.5,4.06,
FYX,none,26.66,none,none,none,none,none,none,-1.48%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,First Trust,116.96M,none,none,none,none,none,none,none,none,none,"24,145",29.325,29.91,1.99,-31.33,1271013.41,33.33,
G,13.09,14.6,18.16,0.9,"595,266","335,686",1.04%,3.49%,3.24B,222.02M,131.75M,N/A,N/A,N/A,7,0.74,0.74,6.78,1.84,2.13,19.73,2.2,1.50B,294.65M,169.20M,11.29%,15.26%,31-Dec,30-Sep-11,6.72%,12.02%,1.56,24.01,409.07M,940.15K,N/A,980.23K,1.9,"253,672",15.3,14.95,-2.29,-31.33,9737052.35,29.04,
G.TO,38.99,50.38,55.93,N/A,"2,658,530","2,036,790",10.17%,12.62%,40.79B,809.73M,803.94M,N/A,N/A,17-May-02,25.76,1.97,1.97,6.65,1.82,1.95,25.6,7.78,5.23B,2.94B,1.80B,29.82%,42.53%,31-Dec,30-Sep-11,5.27%,9.36%,3.82,3.45,1.48B,N/A,N/A,N/A,N/A,"1,328,003",54.35,45.21,-16.82,-31.33,101321000.7,14.52,
GA,3.02,3.83,9.45,1.01,"1,173,980","610,671",-45.60%,-43.15%,903.71M,235.96M,96.09M,0.17,4.60%,N/A,1.51,0.58,0.58,1.14,1.27,2.57,6.6,3.51,261.72M,168.84M,135.90M,51.93%,58.56%,31-Dec,30-Sep-11,12.07%,20.49%,2.19,N/A,300.90M,5.48M,N/A,4.26M,5.7,"355,862",3.93,4.08,3.82,-31.33,1270919.84,35.15,
GAA.TO,4.27,4.69,7.5,N/A,539,375,-14.73%,-12.28%,109.31M,23.31M,4.71M,N/A,N/A,N/A,6.65,1.84,1.84,0.61,0.2,0.71,2.55,13.53,11.25M,-418.00K,28.16M,250.43%,-16.58%,31-Dec,30-Sep-11,-0.36%,28.54%,1.63,171.65,4.56M,N/A,N/A,N/A,N/A,237,4.41,4.84,9.75,-31.33,742.16,41.08,
GAB,4.26,4.86,6.55,1.32,"330,622","378,643",-10.50%,-8.05%,887.46M,182.61M,N/A,N/A,N/A,12-Jul-99,6.15,2.14,2.14,0.13,0,0.79,2.27,37.24,23.83M,N/A,391.01M,1694.74%,30.73%,31-Dec,30-Jun-11,0.36%,31.60%,2.58,N/A,45.60K,470.97K,N/A,736.54K,1.6,"215,330",5.17,4.99,-3.48,-31.33,1994291.32,27.85,
GABC,14.65,16.5,18.91,0.62,"24,303","19,943",-6.57%,-4.12%,207.78M,12.59M,11.30M,0.56,3.20%,26-Nov-03,13.27,1.47,1.47,6.06,4.71,1.26,11.23,2.84,74.03M,N/A,17.83M,24.08%,40.50%,31-Dec,30-Sep-11,1.11%,12.30%,N/A,N/A,59.31M,481.43K,4.20%,514.51K,17.7,"10,685",17.66,18.19,3,-31.33,281039.2,34.33,
GAF,none,59.91,none,none,none,none,none,none,-16.56%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,State Street Global Advisors,107.16M,none,none,none,none,none,none,none,none,none,"2,720",66.18,62.75,-5.18,-31.33,860529.85,26.15,
GAI,2.72,3.55,10.25,0.87,"1,244","1,143",-62.90%,-60.45%,10.79M,3.04M,N/A,N/A,N/A,N/A,24.9,-2.09,-2.09,32.99,9.49,0.13,N/A,0.1,100.27M,-5.21M,-6.35M,-6.34%,-8.32%,31-Mar,30-Jun-11,-4.37%,-8.47%,2.07,15.55,28.84M,979,N/A,900,1.2,850,3.17,3.682,16.15,-31.33,66620.62,47.48,
GAIA,2.95,3.31,7.95,2.33,"40,713","39,514",-57.07%,-54.62%,75.11M,22.69M,13.27M,0.15,4.50%,N/A,6.42,-0.09,-0.09,11.27,1.21,0.53,N/A,0.29,262.18M,5.26M,-2.15M,-0.82%,-0.47%,31-Dec,30-Sep-11,-0.35%,-1.47%,2.44,1.96,27.45M,148.06K,1.20%,156.62K,3.9,"22,020",4,3.24,-19,-31.33,123571.5,12.33,
GAIN,6.06,6.83,8.55,0.79,"77,947","58,229",-12.99%,-10.54%,150.81M,22.08M,N/A,0.6,8.40%,N/A,9.48,1.58,1.58,1.12,3.29,0.72,4.33,6.06,24.81M,N/A,34.81M,140.32%,80.86%,31-Mar,30-Sep-11,4.93%,17.60%,0.9,40.07,72.70M,616.47K,3.20%,705.34K,7.2,"37,563",7.18,7.27,1.25,-31.33,477945.51,32.59,
GALE,0.5,0.51,4.08,0.76,"371,411","175,386",-84.91%,-82.46%,21.92M,42.98M,41.89M,N/A,N/A,N/A,0.11,-0.5,-0.5,N/A,0.37,5.09,N/A,N/A,N/A,-18.50M,-14.90M,N/A,N/A,31-Dec,30-Sep-11,-58.45%,-372.77%,0.75,12.3,15.69M,3.13M,7.70%,3.35M,16.5,"313,037",0.676,0.469,-30.62,-31.33,166740.95,0.71,
GALT.OB,0.63,0.73,1.57,1.75,"80,064","76,900",5.80%,8.25%,56.05M,76.78M,59.99M,N/A,N/A,N/A,0,-0.15,-0.15,N/A,0.1,380,N/A,N/A,N/A,-8.14M,-10.51M,N/A,N/A,31-Dec,30-Sep-11,-91.87%,-205.69%,9.81,N/A,7.94M,239.87K,0.60%,248.51K,1.6,"33,973",0.78,0.96,23.08,-31.33,100616.7,54.41,
GAM,20.57,23.44,29.23,1.29,"34,058","47,643",-6.84%,-4.39%,699.54M,29.84M,27.14M,0.34,1.40%,N/A,26.66,-1.73,-1.73,0.61,N/A,0.89,N/A,38.5,18.30M,N/A,-51.72M,-220.78%,23.85%,31-Dec,30-Sep-11,0.26%,-3.95%,0.41,N/A,N/A,375.61K,N/A,377.20K,11.9,"41,269",25.3,24.91,-1.54,-31.33,1223929.73,29.79,
GAME,3.46,4,7.7,1.87,"649,988","476,543",-29.70%,-27.25%,1.13B,283.33M,70.22M,N/A,N/A,N/A,2.75,0.74,0.74,2.81,1.9,1.44,5.43,1.41,798.05M,285.30M,208.57M,26.14%,27.53%,31-Dec,30-Sep-11,12.56%,29.50%,2.7,16.15,537.03M,349.91K,N/A,603.15K,0.4,"127,693",4.46,3.91,-12.33,-31.33,1144401.66,19,
GAP.V,0.05,0.08,0.17,N/A,"168,050","189,850",-33.33%,-30.88%,9.35M,124.64M,74.82M,N/A,N/A,N/A,-0.01,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,-2.78M,-2.94M,N/A,N/A,31-Dec,30-Jun-11,-572.05%,N/A,0.15,N/A,30.06K,N/A,N/A,N/A,N/A,"346,700",0.075,0.08,6.67,-31.33,11265,38,
GAR,none,27.7,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"5,174",27.33,26.73,-2.2,-31.33,478854.86,29.14,
GARB.PK,0,0,0.02,0.08,"13,292,000","9,961,530",-80.00%,-77.55%,123.95K,123.95M,N/A,N/A,N/A,N/A,-0.03,-0.02,-0.02,0,0,N/A,N/A,7.65,16.20K,-2.25M,-2.15M,N/A,-13928.13%,31-Dec,30-Sep-10,N/A,N/A,0.05,N/A,183,N/A,N/A,N/A,N/A,"3,703,050",0.0008,0.0008,0,-31.33,6995.19,31.33,
GAS,42.98,53.57,57.76,0.58,"300,836","228,929",22.73%,25.18%,2.44B,45.54M,44.82M,1.86,3.40%,27-Apr-93,24.19,2.38,2.38,56.64,2.07,2.22,22.51,0.94,2.60B,396.00M,110.20M,4.24%,7.30%,31-Dec,30-Sep-11,2.70%,10.11%,0.85,73.62,94.40M,1.58M,3.50%,1.80M,5,"102,495",55.74,42.26,-24.18,-31.33,15917053.45,7.15,
GAS.TO,none,21,none,none,none,none,none,none,-12.55%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"Claymore Investments, Inc",129.97M,none,none,none,none,none,none,none,none,none,"17,945",20.5,16.7,-18.54,-31.33,271132.6,12.8,
GASS,3.4,3.72,8.8,0.88,"31,508","29,286",-26.92%,-24.47%,77.70M,20.89M,14.32M,N/A,N/A,N/A,14.77,0.4,0.4,5.63,2.03,0.24,9.25,0.64,118.45M,52.01M,8.43M,7.13%,20.70%,31-Dec,30-Sep-11,2.19%,2.77%,1.02,120.01,42.44M,28.36K,0.20%,36.55K,1.2,"39,211",3.97,3.86,-2.77,-31.33,208376.22,28.56,
GAT,none,30.53,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"1,519",30.48,31.4899,3.31,-31.33,275148.68,34.65,
GAU.V,0.02,0.03,0.13,N/A,"42,033","64,500",-50.00%,-47.55%,2.62M,104.68M,61.41M,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,0.75,N/A,N/A,N/A,-651.52K,-1.14M,N/A,N/A,30-Jun,31-Mar-11,-6.23%,-45.69%,0.18,157.46,N/A,N/A,N/A,N/A,N/A,"40,000",0.02,0.015,-25,-31.33,0,6.33,
