Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,Avg Trade Volume,Delta Return,
DML.TO,0.87,1.29,4.44,N/A,"819,745","768,462",-59.94%,-57.49%,496.21M,384.66M,323.85M,N/A,N/A,N/A,1.32,N/A,N/A,0.27,0.14,0.96,N/A,4.88,100.03M,2.18M,-23.61M,-23.61%,-41.35%,31-Dec,30-Sep-11,-3.60%,-3.80%,7.7,0.05,52.76M,N/A,N/A,N/A,N/A,"490,181",1.46,1.27,-13.01,-31.33,598662.54,18.32,
DMLP,20.81,22.12,30.09,0.4,"75,973","77,514",-18.29%,-15.84%,678.53M,30.68M,24.87M,1.82,7.80%,N/A,4.53,1.18,1.18,2.08,0.51,5.04,18.71,10.96,63.88M,55.21M,36.26M,58.71%,58.58%,31-Dec,30-Sep-11,15.30%,24.81%,17.39,N/A,15.74M,10.81K,N/A,38.63K,0.2,"123,273",21.96,22.66,3.19,-31.33,2307614.92,34.52,
DMM.TO,1.72,3.04,4.85,0.55,"60,016","62,438",-30.91%,-28.46%,129.08M,42.46M,33.02M,N/A,N/A,26-Sep-03,1.69,N/A,N/A,N/A,0.19,1.43,N/A,N/A,N/A,-5.52M,-6.94M,N/A,N/A,31-Dec,30-Jun-11,N/A,-10.01%,3.84,N/A,8.23M,2.08K,N/A,2.60K,0.9,"275,189",3.06,2.14,-30.07,-31.33,86400.83,1.27,
DMMIF.PK,1.66,2.87,4.76,N/A,"5,442","5,743",-32.94%,-30.49%,121.86M,42.46M,33.02M,N/A,N/A,N/A,1.69,-0.16,-0.16,N/A,0.19,1.3,N/A,N/A,N/A,-5.52M,-6.94M,N/A,N/A,31-Dec,30-Jun-11,N/A,-10.01%,3.84,N/A,8.23M,N/A,N/A,N/A,N/A,"11,000",2.98,2.06,-30.87,-31.33,20381,0.46,
DMND,26.94,27.04,96.13,0.24,"1,250,350","2,400,200",-41.85%,-39.40%,596.20M,22.05M,19.45M,0.18,0.50%,N/A,20.63,2.22,2.22,44.77,0.14,1.35,12.18,0.63,965.90M,139.16M,50.20M,5.20%,11.36%,31-Jul,31-Jul-11,5.45%,12.03%,1.49,116.91,3.11M,11.34M,70.60%,10.00M,14.9,"1,821,068",29.5,32.27,9.39,-31.33,113380175.8,40.72,
DMNKF.PK,0.11,0.27,0.41,N/A,"47,266","92,886",N/A,none,16.41M,60.10M,41.63M,N/A,N/A,N/A,0.08,-0.03,-0.03,N/A,0.04,3.47,N/A,N/A,N/A,-1.47M,-1.17M,N/A,N/A,31-Mar,30-Jun-11,-26.95%,-36.60%,6.89,N/A,2.43M,N/A,N/A,N/A,N/A,"49,335",0.3009,0.3365,11.83,-31.33,19705.1,43.16,
DMO,none,19.4,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"5,126",19.26,19.61,1.82,-31.33,390016.07,33.15,
DMRC,21,24.39,43.82,0.72,"37,616","21,757",-17.85%,-15.40%,163.02M,6.68M,6.01M,N/A,N/A,N/A,6.01,1.06,1.06,5.48,3.97,4.1,22.94,4.38,37.59M,9.06M,7.96M,21.17%,22.18%,31-Dec,30-Sep-11,10.61%,17.57%,8.83,N/A,26.53M,224.13K,3.80%,252.02K,5,"8,986",25.1,23.89,-4.82,-31.33,490484.34,26.51,
DNA.TO,1.27,2.09,2.52,N/A,"176,284","280,525",0.48%,2.93%,147.30M,70.48M,55.78M,N/A,N/A,N/A,0.58,N/A,N/A,N/A,0.34,3.65,N/A,N/A,N/A,-7.42M,-6.35M,N/A,N/A,31-Dec,30-Sep-11,-10.89%,-15.06%,17.95,N/A,23.81M,N/A,N/A,N/A,N/A,"20,000",2.1,1.9,-9.52,-31.33,63215,21.81,
DNB,58.5,65.14,87.08,0.51,"492,722","560,557",-13.66%,-11.21%,3.17B,48.61M,48.29M,1.44,2.10%,3-Oct-00,-11.67,5.21,5.21,35.33,1.93,N/A,12.5,1.82,1.74B,512.70M,258.90M,14.90%,24.82%,31-Dec,30-Sep-11,15.43%,N/A,0.54,N/A,93.70M,1.62M,3.80%,1.49M,3.2,"169,083",70.31,74.83,6.43,-31.33,26802673.91,37.76,
DNBHF.PK,8.95,9.23,17.16,N/A,"7,013","25,314",-26.10%,-23.65%,15.04B,1.63B,1.05B,N/A,N/A,N/A,11.93,1.49,1.49,3.91,28.92,0.77,6.2,2.34,6.36B,N/A,2.42B,38.10%,51.48%,31-Dec,30-Sep-11,0.70%,12.81%,N/A,N/A,47.13B,N/A,N/A,N/A,N/A,"150,821",9.94,9.85,-0.91,-31.33,20550.39,30.43,
DNC.TO,10.49,11.5,13.75,N/A,"5,642","7,525",-5.89%,-3.44%,121.18M,10.54M,9.67M,N/A,N/A,N/A,13.61,1.65,1.65,0.98,0.25,0.84,6.98,11.71,10.35M,N/A,17.36M,167.73%,72.85%,31-Dec,30-Jun-11,3.39%,12.54%,11.31,N/A,2.62M,N/A,N/A,N/A,N/A,"3,263",11.65,11.84,1.63,-31.33,20397,32.96,
DNDN,6.46,7.85,43.96,5.01,"6,198,590","8,158,140",-78.44%,-75.99%,1.17B,148.96M,147.12M,N/A,N/A,N/A,2.03,-3.22,-3.22,1.13,3.51,3.84,N/A,7.06,164.48M,-357.59M,-467.74M,-284.38%,-237.61%,31-Dec,30-Sep-11,-29.80%,-111.32%,1.13,187.07,522.97M,23.57M,16.30%,23.94M,5.4,"1,828,801",8.76,7.6,-13.24,-31.33,25383764.88,18.09,
DNG.TO,0.6,0.84,2.13,N/A,"29,897","18,713",-22.22%,-19.77%,29.91M,35.61M,27.21M,N/A,N/A,N/A,0.33,N/A,N/A,1.92,0.06,2.52,N/A,0.47,63.22M,9.86M,-2.45M,-3.88%,8.35%,31-Dec,30-Jun-11,N/A,-20.00%,1.85,15.11,2.08M,N/A,N/A,N/A,N/A,"4,768",0.8,0.75,-6.25,-31.33,34927.93,25.08,
DNI.V,0.1,0.26,0.4,1.19,"197,167","387,225",136.36%,138.81%,15.63M,60.10M,41.63M,0.24,5.50%,11-May-10,0.08,N/A,N/A,N/A,0.04,3.15,N/A,N/A,N/A,-1.53M,-1.22M,N/A,N/A,31-Mar,30-Jun-11,-26.95%,-36.60%,6.89,N/A,2.55M,2.19K,N/A,1.94K,0,"117,335",0.3,0.35,16.67,-31.33,66837.9,48,
DNKN,24.31,24.64,31.94,N/A,"922,427","2,960,700",N/A,none,2.96B,120.13M,49.44M,N/A,N/A,N/A,6.1,0.6,0.6,4.96,1.51,4.05,41.2,4.87,609.47M,252.00M,7.59M,1.25%,32.68%,25-Dec,24-Sep-11,N/A,N/A,1.23,203.56,181.85M,3.35M,13.70%,3.56M,6.1,"353,813",25,24.98,-0.08,-31.33,10482221.35,31.25,
DNL,none,43.51,none,none,none,none,none,none,-8.38%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,WisdomTree Trust,58.98M,none,none,none,none,none,none,none,none,none,"1,350",47.72,45.95,-3.71,-31.33,617815.46,27.62,
DNN,0.81,1.22,4.52,2.95,"1,261,070","908,757",-61.64%,-59.19%,469.29M,384.66M,323.85M,N/A,N/A,N/A,1.32,-0.06,-0.06,0.27,0.14,0.92,N/A,4.69,100.03M,2.18M,-23.61M,-23.61%,-41.35%,31-Dec,30-Sep-11,-3.60%,-3.80%,7.7,0.05,52.76M,2.53M,N/A,2.61M,1.7,"381,510",1.45,1.25,-13.79,-31.33,1497700.98,17.54,
DNO,none,37.26,none,none,none,none,none,none,-3.44%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,United States Commodity Funds LLC,11.64M,none,none,none,none,none,none,none,none,none,"4,990",35.61,36.11,1.4,-31.33,425980.66,32.74,
DNP,8.52,10.59,10.88,0.22,"372,959","341,371",6.43%,8.88%,2.55B,240.40M,N/A,0.65,6.10%,N/A,8.01,2.21,2.21,0.57,0.31,1.33,4.79,18.55,137.51M,N/A,531.21M,388.49%,82.74%,31-Dec,30-Jun-11,2.58%,27.57%,25.19,37.65,74.11M,1.31M,N/A,1.30M,3.2,"181,906",10.9,10.92,0.18,-31.33,4700783.99,31.52,
DNPLY.PK,N/A,9.14,N/A,N/A,N/A,N/A,N/A,none,5.89B,644.10M,338.70M,N/A,N/A,N/A,18.14,0.33,0.33,31.16,4.56,0.51,28.04,0.3,20.07B,1.87B,210.31M,1.05%,2.84%,31-Mar,30-Sep-11,1.71%,1.66%,1.82,22.5,2.94B,N/A,N/A,N/A,N/A,"47,948",9.48,9.46,-0.21,-31.33,2125742.72,31.12,
DNR,10.2,14.32,26.03,1.45,"6,725,220","6,254,770",-21.88%,-19.43%,5.71B,399.04M,389.58M,N/A,N/A,17-Dec-07,12.37,1.32,1.32,5.52,0.27,1.17,10.88,2.62,2.20B,1.49B,531.09M,24.16%,48.93%,31-Dec,30-Sep-11,6.82%,10.70%,1.03,48.72,106.21M,19.64M,5.60%,15.37M,2.5,"1,972,071",16.7,15.1,-9.58,-31.33,53645919.65,21.75,
DNSKY.PK,5.73,6.46,13.71,N/A,"25,722","16,271",-49.13%,-46.68%,11.97B,1.85B,1.70B,N/A,N/A,N/A,12.17,0.3,0.3,3.82,111.47,0.54,21.53,2.06,5.94B,N/A,462.87M,7.79%,16.37%,31-Dec,30-Sep-11,0.08%,2.26%,N/A,N/A,206.53B,N/A,N/A,N/A,N/A,"10,850",6.63,6.3,-4.98,-31.33,60907.85,26.35,
DNT.TO,0.82,1.22,2.63,N/A,"267,273","175,038",-14.08%,-11.63%,144.38M,118.34M,109.28M,N/A,N/A,N/A,0.62,N/A,N/A,N/A,0.22,2.03,N/A,N/A,N/A,-3.35M,-2.94M,N/A,N/A,31-Dec,30-Sep-11,-3.49%,-4.92%,26.59,N/A,26.21M,N/A,N/A,N/A,N/A,"152,219",1.26,0.97,-23.02,-31.33,251514.88,8.32,
DNX.V,0.35,0.45,0.7,N/A,"16,192","1,500",-29.69%,-27.24%,36.23M,80.51M,14.43M,N/A,N/A,N/A,0.4,0.02,0.02,0.41,0.01,0.95,22.5,0.92,33.08M,3.37M,1.11M,3.36%,4.16%,31-Dec,30-Jun-11,2.14%,3.53%,2.38,8.12,545.64K,N/A,N/A,N/A,N/A,"5,000",0.37,0.385,4.05,-31.33,3145,35.39,
DNZOF.PK,N/A,26.25,N/A,N/A,N/A,N/A,N/A,none,N/A,NaN,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,591,28.05,27.5,-1.96,-31.33,14698.2,29.37,
DNZOY.PK,12.94,13.07,19.04,N/A,"27,869","25,543",-20.06%,-17.61%,21.07B,1.61B,507.88M,N/A,N/A,N/A,15.08,0.58,0.58,23.74,8.09,0.87,22.38,0.55,38.26B,3.66B,941.52M,2.46%,3.25%,31-Mar,30-Sep-11,1.79%,4.21%,2.53,29.37,13.03B,N/A,N/A,N/A,N/A,"52,406",13.87,13.67,-1.44,-31.33,212543.74,29.89,
DO,51.16,58.05,81.19,1.01,"1,864,660","1,393,290",-12.19%,-9.74%,8.07B,139.03M,68.90M,0.5,0.80%,15-Aug-97,30.65,7.31,7.31,24.56,8.28,1.91,7.94,2.38,3.42B,1.77B,1.02B,29.74%,40.03%,31-Dec,30-Sep-11,12.81%,25.40%,5.18,35.11,1.15B,11.49M,16.70%,10.82M,5.5,"443,185",60.33,55.26,-8.4,-31.33,65974182.57,22.93,
DOD,none,8.51,none,none,none,none,none,none,4.62%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Deutsche Bank AG,4.80M,none,none,none,none,none,none,none,none,none,"8,425",8.99,9.58,6.56,-31.33,95179.37,37.9,
DOD.V,0.05,0.05,0.23,N/A,"269,869","94,050",-72.22%,-69.77%,2.08M,46.25M,45.71M,N/A,N/A,N/A,0.11,N/A,N/A,N/A,0.08,0.49,N/A,N/A,N/A,-1.23M,-852.26K,N/A,N/A,30-Sep,30-Jun-11,-14.22%,-21.06%,22.37,0.36,3.50M,N/A,N/A,N/A,N/A,"187,000",0.055,0.04,-27.27,-31.33,5205,4.06,
DOG,none,42.51,none,none,none,none,none,none,-9.14%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,ProShares,278.05M,none,none,none,none,none,none,none,none,none,"371,624",39.64,38.8,-2.12,-31.33,29481916.32,29.21,
DOG.V,0.27,0.39,0.48,-0.85,"33,984","17,725",18.18%,20.63%,9.58M,24.57M,20.34M,N/A,N/A,30-May-03,0.19,N/A,N/A,0.13,0.02,2.11,N/A,3.11,3.08M,525.93K,-825.91K,-26.84%,-30.45%,31-Dec,30-Jun-11,-9.59%,-20.53%,0.45,28.63,410.11K,36.00K,N/A,421.71K,0.1,"1,000",0.4,0.4,0,-31.33,16620,31.33,
DOH.V,0.2,0.4,1,N/A,"395,847","378,462",-42.03%,-39.58%,25.72M,64.30M,40.31M,N/A,N/A,N/A,0.27,N/A,N/A,N/A,0.28,1.51,N/A,N/A,N/A,N/A,-6.41M,N/A,N/A,30-Jun,30-Jun-11,-25.54%,-71.34%,31.99,N/A,17.68M,N/A,N/A,N/A,N/A,"31,000",0.39,0.35,-10.26,-31.33,72393.32,21.08,
DOL,none,37.37,none,none,none,none,none,none,-3.61%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,WisdomTree Trust,132.03M,none,none,none,none,none,none,none,none,none,"8,112",41,40,-2.44,-31.33,1569149,28.89,
DOL.TO,27.41,37.58,38.41,1.14,"156,911","69,975",29.68%,32.13%,2.77B,73.71M,57.41M,1.27,2.60%,N/A,10.63,1.87,1.87,20.4,0.44,3.54,20.1,1.85,1.50B,257.70M,141.45M,9.44%,15.15%,30-Jan,31-Jul-11,10.76%,19.57%,2.01,35.59,32.38M,4.95K,N/A,15.19K,0.2,"44,996",40.15,44.5,10.83,-31.33,3943966.95,42.17,
DOLE,8.13,8.25,14.99,1.41,"337,131","369,371",-15.30%,-12.85%,722.58M,87.59M,35.63M,N/A,N/A,N/A,10.12,-0.05,-0.05,82.73,2.18,0.81,N/A,0.1,7.24B,326.98M,-3.15M,-0.06%,3.06%,1-Jan,8-Oct-11,3.27%,0.17%,1.8,194.12,190.59M,9.56M,26.50%,9.70M,33.5,"157,692",8.47,8.65,2.13,-31.33,3352428.87,33.46,
DOM,7,9.29,18,0.67,"24,147","28,843",-39.75%,-37.30%,72.92M,7.85M,N/A,0.91,9.30%,N/A,1.96,1.02,1.02,1.15,0.01,4.98,9.09,8.49,9.03M,N/A,8.02M,88.85%,88.85%,31-Dec,30-Jun-11,29.85%,48.11%,0.31,N/A,36.90K,125.96K,N/A,100.66K,4.8,"25,061",9.36,7.99,-14.64,-31.33,548582.85,16.7,
DON,none,47.6,none,none,none,none,none,none,3.53%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,WisdomTree Trust,248.83M,none,none,none,none,none,none,none,none,none,"9,509",51.07,52.16,2.13,-31.33,1926243.08,33.47,
DON.V,0.17,0.19,0.37,1.21,"171,656","38,600",-26.92%,-24.47%,28.55M,150.26M,148.95M,1.89,3.50%,N/A,0.07,N/A,N/A,N/A,0.06,2.64,N/A,N/A,N/A,-6.02M,-5.88M,N/A,N/A,28-Feb,31-Aug-11,-22.13%,-71.19%,55.81,N/A,9.37M,9.04K,N/A,12.24K,0.3,"44,500",0.2,0.22,10,-31.33,8573.6,41.33,
DOO,none,37.1,none,none,none,none,none,none,-1.87%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,WisdomTree Trust,246.22M,none,none,none,none,none,none,none,none,none,"51,178",40.57,39.62,-2.34,-31.33,12053665.07,28.99,
DOR.V,0.03,0.03,0.07,N/A,"148,805","266,850",-57.14%,-54.69%,6.67M,266.64M,252.76M,N/A,N/A,N/A,0.15,N/A,N/A,0,N/A,0.21,N/A,"2,206.03",3.63K,-1.71M,-2.42M,N/A,-65299.31%,31-Dec,30-Jun-11,-3.15%,-6.28%,0.02,10.38,N/A,N/A,N/A,N/A,N/A,"78,000",0.03,0.03,0,-31.33,5561.25,31.33,
DORM,26.57,35.74,49.32,1.46,"59,681","50,486",-8.17%,-5.72%,645.14M,18.05M,10.44M,N/A,N/A,29-Mar-05,16.62,2.69,2.69,28.65,2.53,2.25,13.29,1.32,512.76M,91.34M,48.85M,9.53%,16.31%,25-Dec,24-Sep-11,15.71%,17.75%,6.53,N/A,45.59M,444.03K,3.80%,506.67K,7.3,"30,802",37.5,36.93,-1.52,-31.33,1337510.22,29.81,
DOV,43.64,50.26,70.15,1.37,"2,040,440","1,714,010",-8.98%,-6.53%,9.32B,185.38M,182.30M,1.26,2.40%,16-Dec-97,26.32,4.3,4.3,44.16,4.95,1.91,11.69,1.14,8.23B,1.54B,845.49M,9.90%,14.96%,31-Dec,30-Sep-11,8.62%,18.27%,2.51,44.82,917.02M,3.00M,N/A,3.14M,1.4,"507,514",54.76,58.05,6.01,-31.33,70550292.07,37.34,
DOVR,2.45,3.51,6,0.37,"7,017","5,014",13.23%,15.68%,18.57M,5.29M,1.92M,N/A,N/A,N/A,2.13,0.4,0.4,15.24,0.03,1.67,8.8,0.23,80.53M,5.34M,2.13M,2.65%,5.70%,31-Dec,30-Sep-11,11.07%,20.99%,3.07,82.22,151.00K,1.99K,0.10%,2.66K,0.2,"5,856",3.6,4,11.11,-31.33,2392,42.44,
DOW,20.61,24.47,42.23,3.06,"12,101,300","9,959,660",-21.77%,-19.32%,28.92B,1.18B,1.18B,1,4.10%,19-Jun-00,17.05,2.44,2.44,52.17,1.79,1.44,10.02,0.49,59.66B,7.40B,2.82B,5.34%,7.55%,31-Dec,30-Sep-11,4.23%,13.46%,1.69,77.97,2.12B,25.60M,2.20%,27.63M,1.8,"2,919,143",27.57,28.76,4.32,-31.33,166394765.4,35.65,
DOX,25.41,27.54,32,1.02,"1,125,730","843,357",5.40%,7.85%,4.91B,178.23M,173.56M,N/A,N/A,N/A,16.96,1.86,1.86,17.16,6.58,1.62,14.81,1.54,3.18B,585.84M,346.67M,10.91%,12.73%,30-Sep,30-Sep-11,5.35%,11.09%,1.96,8.27,1.17B,1.80M,1.10%,1.64M,1.8,"334,258",28.48,28.53,0.18,-31.33,19303305.56,31.51,
DOX.V,0.15,0.19,0.34,N/A,"33,122","19,175",-20.83%,-18.38%,4.01M,21.08M,18.13M,N/A,N/A,N/A,-0.01,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,-377.19K,-587.04K,N/A,N/A,31-Mar,30-Jun-11,-146.14%,N/A,0.04,N/A,3.50K,N/A,N/A,N/A,N/A,"4,000",0.17,0.17,0,-31.33,7267.5,31.33,
DPD,none,12.67,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"16,165",13.28,13.12,-1.2,-31.33,777781.44,30.13,
DPDW.OB,N/A,0.06,N/A,0.82,N/A,N/A,N/A,none,12.53M,206.03M,130.28M,N/A,N/A,N/A,0.1,-0.05,-0.05,0.19,0.01,0.6,N/A,0.33,38.18M,2.25M,-11.23M,-29.41%,-0.55%,31-Dec,30-Sep-11,-0.32%,-41.63%,0.81,17.12,2.58M,N/A,N/A,N/A,N/A,"5,000",0.06,0.05,-16.67,-31.33,38938.88,14.67,
DPK,none,46.31,none,none,none,none,none,none,-17.54%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Direxion Funds,14.92M,none,none,none,none,none,none,none,none,none,"43,259",34.16,34.68,1.52,-31.33,1519945.06,32.85,
DPM,34.4,43.92,45.21,1.08,"92,639","106,186",25.88%,28.33%,1.95B,44.43M,28.61M,2.56,5.70%,N/A,14.63,1.87,1.87,36.21,0.05,2.97,23.46,1.27,1.53B,195.90M,85.30M,6.01%,7.68%,31-Dec,30-Sep-11,4.39%,14.35%,0.29,87.05,2.00M,647.32K,2.70%,535.42K,7.4,"9,971",43.4,47.47,9.38,-31.33,5774513.12,40.71,
DPM.TO,6.86,8.94,10.26,N/A,"372,348","383,375",0.22%,2.67%,1.12B,125.23M,83.18M,N/A,N/A,21-Apr-04,5.29,0.62,0.62,2.49,1.27,1.68,14.4,3.58,311.35M,93.53M,85.46M,27.45%,18.61%,31-Dec,30-Sep-11,4.42%,11.44%,5.78,12.08,159.28M,N/A,N/A,N/A,N/A,"445,512",9.32,8.22,-11.8,-31.33,24709839.04,19.53,
DPMLF.PK,6.82,8.47,10.26,N/A,"7,672","3,686",-1.28%,1.17%,1.06B,125.23M,83.18M,N/A,N/A,N/A,5.29,0.62,0.62,2.49,1.27,1.54,13.64,3.29,311.35M,93.53M,85.46M,27.45%,18.61%,31-Dec,30-Sep-11,4.42%,11.44%,5.78,12.08,159.28M,N/A,N/A,N/A,N/A,600,9.17,8.2019,-10.56,-31.33,48641.6,20.77,
DPO,none,9.78,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"48,406",10.31,10.16,-1.45,-31.33,895371.15,29.88,
DPS,33.68,34.96,43.13,0.74,"1,934,820","1,550,830",-4.40%,-1.95%,7.49B,214.38M,214.02M,1.28,3.60%,N/A,10.53,2.46,2.46,26.38,3.07,3.3,14.22,1.27,5.85B,1.23B,552.00M,9.43%,17.44%,31-Dec,30-Sep-11,7.10%,22.81%,0.98,115.74,659.00M,4.16M,2.10%,3.53M,2,"497,347",36.64,39.48,7.75,-31.33,37811971.22,39.08,
DPSTF.PK,none,13.79,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,480,15.03,15.43,2.66,-31.33,6757.2,33.99,
DPTR,0.52,0.56,13.3,2.65,"280,778","230,714",-92.63%,-90.18%,16.17M,28.87M,18.75M,N/A,N/A,13-Jul-11,2.12,-17.63,-17.63,5.44,0.14,0.27,N/A,0.11,151.60M,30.81M,-499.63M,N/A,-315.47%,31-Dec,30-Sep-11,-35.15%,-169.46%,0.54,656.85,3.89M,575.25K,N/A,660.23K,3.7,"66,033",0.57,,0,-31.33,0,31.33,
DPW,1.19,1.73,2.04,0.35,"4,219","5,886",19.31%,21.76%,11.63M,6.72M,3.05M,N/A,N/A,N/A,0.73,0.18,0.18,1.83,0.27,2.37,9.56,0.94,12.25M,1.43M,1.24M,10.13%,10.24%,31-Dec,30-Sep-11,10.16%,27.37%,2.52,N/A,1.86M,6.23K,N/A,6.23K,1.4,"1,130",1.74,1.85,6.32,-31.33,16010.5,37.65,
DPZ,14.63,30.51,33.7,0.69,"1,067,500","728,443",106.01%,108.46%,1.85B,60.79M,41.07M,N/A,N/A,N/A,-19.29,1.5,1.5,26.97,1.29,N/A,20.3,1.17,1.60B,274.02M,93.13M,5.82%,15.17%,2-Jan,19-Jun-11,33.54%,N/A,1.97,N/A,78.64M,3.48M,N/A,3.60M,2.5,"320,087",33.44,33.95,1.53,-31.33,21522095.38,32.86,
DQ,1.76,2.01,14.97,N/A,"238,361","245,314",-81.89%,-79.44%,70.64M,35.14M,11.45M,N/A,N/A,N/A,9.9,3.04,3.04,8.57,1.69,0.21,0.66,0.25,299.49M,176.29M,94.99M,35.25%,44.93%,31-Dec,30-Sep-11,13.04%,27.98%,0.75,32.38,59.24M,412.97K,N/A,452.53K,2,"44,305",2.3,1.67,-27.39,-31.33,282306.98,3.94,
DRAD,1.81,2.05,3.1,0.66,"26,339","10,586",-1.91%,0.54%,38.68M,18.87M,18.66M,N/A,N/A,N/A,2.32,-0.06,-0.06,2.98,1.68,0.89,N/A,0.69,56.52M,1.73M,-1.07M,-1.90%,-3.15%,31-Dec,30-Sep-11,-2.12%,-2.44%,5.53,N/A,31.64M,27.53K,0.20%,16.26K,1,200,2.02,1.96,-2.97,-31.33,53825.87,28.36,
DRC,34.68,46.59,56.53,0.91,"1,050,500","609,329",22.19%,24.64%,3.51B,75.24M,74.56M,N/A,N/A,N/A,11.22,1.29,1.29,26.8,1.96,4.12,36.14,1.65,2.11B,289.50M,102.80M,4.87%,10.16%,31-Dec,30-Sep-11,5.15%,10.80%,1.17,125.61,147.10M,3.88M,5.40%,4.63M,3.7,"432,351",52.99,49.91,-5.81,-31.33,30890166.44,25.52,
DRCO,8.41,8.41,17.18,0.9,"30,875","25,914",-38.57%,-36.12%,86.01M,10.23M,8.91M,N/A,N/A,7-May-98,11.46,1.12,1.12,30.33,0.33,0.75,7.52,0.29,304.13M,30.43M,11.41M,3.75%,7.91%,31-Dec,30-Sep-11,5.65%,10.30%,1.1,108.06,3.42M,642.00K,8.50%,681.84K,18.2,"27,040",9.33,11.34,21.54,-31.33,172969.64,52.88,
DRE,9.29,10.5,15.63,2.04,"3,080,420","2,444,910",-7.49%,-5.04%,2.66B,252.92M,251.78M,0.68,6.30%,26-Aug-97,7.58,-0.02,-0.02,5.66,0.06,1.39,N/A,1.86,1.43B,479.92M,-35.34M,4.36%,14.41%,31-Dec,30-Sep-11,1.71%,1.17%,0.83,153.96,16.18M,14.24M,5.70%,13.27M,3.9,"878,569",11.47,12.05,5.06,-31.33,20630252.01,36.39,
DRGN.OB,0.02,0.02,0.25,-0.16,100,129,-86.67%,-84.22%,1.72M,81.01M,19.46M,N/A,N/A,N/A,0.02,-0.01,-0.01,0,N/A,1.25,N/A,14.93,115.01K,-933.82K,-942.39K,N/A,-819.43%,31-Mar,30-Jun-11,-32.85%,-139.51%,4.92,1.06,N/A,N/A,N/A,N/A,N/A,600,0.0212,0.0212,0,-31.33,0,31.33,
DRH,6.3,7.97,12.63,2.51,"1,621,820","1,009,430",-22.77%,-20.32%,1.33B,167.50M,164.93M,0.32,3.90%,N/A,9.01,-0.07,-0.07,4.14,0.17,0.88,N/A,1.96,680.07M,142.93M,-10.74M,-1.58%,7.03%,31-Dec,9-Sep-11,1.14%,-0.74%,2.74,71.27,28.78M,11.95M,N/A,10.47M,6.7,"554,494",8.83,9.64,9.17,-31.33,8554483.56,40.51,
DRI,40.69,44.6,53.81,0.82,"2,342,780","1,798,270",-9.46%,-7.01%,5.88B,131.82M,130.87M,1.72,3.80%,2-May-02,14.44,3.38,3.38,56.31,0.56,3.09,13.21,0.77,7.64B,1.05B,472.20M,6.15%,9.57%,29-May,28-Aug-11,8.54%,25.03%,0.5,94.15,74.20M,8.94M,6.70%,8.47M,3.8,"521,606",47.45,45.58,-3.94,-31.33,51767644.39,27.39,
DRI.V,0.07,0.1,1.59,N/A,"178,919","83,700",-92.00%,-89.55%,7.26M,76.39M,59.29M,N/A,N/A,N/A,0.2,N/A,N/A,N/A,0.02,0.47,N/A,N/A,N/A,-6.14M,-6.88M,N/A,N/A,31-Jan,31-Jul-11,-13.91%,-25.22%,2.84,N/A,1.58M,N/A,N/A,N/A,N/A,"26,000",0.08,0.065,-18.75,-31.33,2630,12.58,
