Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return
acu,2.125,3.1,3.95,0.16,"2,273","1,000",-11.40%,18.80%,10.9M,3.51M,2.10M,none,none,none,2.47,0.34,0.11,9.55,0.09,1.26,9.12,0.33,35.0M,3.06M,1.24M,3.50%,6.90%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,3.1,3.1,0.00%,5.11%
acv,33,42.25,46.26,0.54,129.8K,140.0K,27.10%,70.40%,2.40B,56.7M,36.0M,0.33,0.78%,none,13.1,1.91,0.55,43.08,3.61,3.23,22.18,0.98,2.49B,189.1M,110.4M,4.40%,6.70%,30-Sep,none,7.61%,16.15%,2.24,0.44,202.8M,3.88M,10.80%,3.48M,26.58,146.0K,43.27,43.52,0.58%,5.11%
acve.ob,0.281,0.8,1.563,0.36,"7,773",21.0K,-39.10%,-18.30%,8.29M,10.4M,8.10M,none,none,none,-0.27,-0.55,-0.37,1.7,none,none,none,0.47,17.1M,-4.42M,-5.58M,-32.50%,-33.50%,30-Apr,none,-56.72%,-1329.36%,0.77,none,none,0,none,"1,000",none,"3,000",0.8,1.05,31.25%,5.11%
acx,1.92,2.55,15.438,1.6,27.3K,17.0K,-81.70%,-75.50%,37.0M,14.5M,11.5M,none,none,none,8.89,0.01,-0.2,16.71,0.02,0.29,364.29,0.15,245.5M,31.6M,235.0K,0.10%,4.80%,31-Dec,none,0.09%,0.18%,0.71,0.58,331.0K,45.0K,0.40%,46.0K,2.14,21.0K,2.49,2.98,19.68%,5.11%
acxm,7.06,11.79,45.75,1.01,887.5K,941.0K,-71.30%,-61.50%,1.06B,90.2M,76.7M,none,none,none,5.31,-0.68,0.08,10.12,0.1,2.22,none,1.17,926.7M,81.2M,-59.1M,-6.40%,-5.50%,31-Mar,none,-4.84%,-10.02%,1.45,1.04,9.12M,5.27M,6.90%,4.84M,11.46,460.0K,11.1,12.92,16.40%,5.11%
acy,4.375,5.45,6.55,0.32,"2,591","2,000",-7.20%,24.40%,8.41M,1.54M,900.0K,none,none,none,11.78,1.14,0.34,7.88,0.63,0.46,4.77,0.69,12.2M,8.87M,1.77M,14.50%,20.80%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,5.4,4.85,-10.19%,5.11%
ad,30.05,36.07,48,0.36,99.1K,164.0K,-6.50%,25.40%,733.3M,20.3M,16.5M,none,none,none,-0.15,2.47,0.7,55.14,1.48,none,14.59,0.65,1.14B,98.8M,51.0M,4.50%,8.60%,30-Sep,none,none,none,none,none,none,none,none,none,none,none,36.25,38.4,5.93%,5.11%
adam,1,2.24,3.625,0.54,14.1K,"6,000",-33.60%,-11.00%,14.5M,6.49M,4.80M,none,none,none,0.77,-0.11,0.26,1.58,0.58,2.92,none,1.42,9.58M,1.00M,-453.0K,-2.70%,-8.40%,31-Dec,none,-3.14%,-12.00%,1.73,0,3.77M,"4,000",0.10%,"2,000",0.17,24.0K,2.33,2.77,18.88%,5.11%
adapq.ob,0.005,0.01,15.875,2.4,257.2K,291.0K,-99.90%,-99.90%,378.0K,37.8M,31.4M,none,none,none,1.08,-3.17,-3.03,1.22,1.92,0.01,none,0.01,46.5M,-102.9M,-119.1M,none,none,31-Dec,none,-66.92%,-93.04%,1.49,0,72.6M,755.0K,2.40%,829.0K,1.51,500.0K,,,0,5.11%
adat,2.3,4.16,6.6,0.86,55.5K,42.0K,-11.80%,18.20%,67.3M,16.2M,15.7M,none,none,none,1.21,-0.63,-0.21,1.19,0.56,3.43,none,3.5,17.9M,-6.61M,-9.49M,-52.30%,-53.20%,30-Jun,none,-44.02%,-59.51%,3.38,0.07,9.04M,204.0K,1.30%,196.0K,1.89,108.0K,4.5,4.04,-10.22%,5.11%
