Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return
insy.ob,0.02,0.08,0.813,none,116.6K,130.0K,-87.20%,-82.80%,2.02M,25.2M,8.10M,none,none,none,-0.02,-0.28,-0.04,0.12,0,none,none,0.65,2.19M,-4.67M,-4.92M,none,none,31-Dec,none,-193.39%,-441.27%,0.16,none,"9,000",none,none,none,none,none,0.075,0.048,-36.00%,5.11%
int,6,15.15,15.25,1.03,47.1K,70.0K,116.40%,190.20%,157.6M,10.4M,5.90M,0.3,1.98%,none,10.26,1.58,0.34,139.07,3.36,1.48,9.6,0.11,1.46B,17.4M,16.6M,1.10%,1.00%,31-Mar,none,none,none,none,none,none,none,none,none,none,none,15,15.89,5.93%,5.11%
inta,1.25,1.42,18.75,1.73,17.6K,"8,000",-85.80%,-81.00%,3.86M,2.72M,2.70M,none,none,none,2.98,-10.91,-0.95,4.44,1.64,0.48,none,0.32,12.6M,-15.8M,-30.1M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,1.4,1.79,27.86%,5.11%
intc,18.96,24.42,47.875,1.61,48.5M,48.6M,-45.60%,-27.00%,164.3B,6.73B,6.26B,0.08,0.33%,none,5.34,0.43,0.01,4.09,1.36,4.57,56.92,5.96,28.3B,6.07B,2.98B,10.50%,13.50%,30-Dec,none,none,none,none,none,none,none,none,none,none,none,25.94,32.66,25.91%,5.11%
intd,2.25,3.54,6.36,1.65,118.7K,124.0K,-32.60%,-9.60%,163.1M,46.1M,43.8M,none,none,none,1.06,-0.64,-0.18,0.23,0.36,3.35,none,15.76,9.62M,-31.1M,-27.1M,none,none,31-Dec,none,-47.36%,-59.50%,1.75,0,16.8M,1.79M,4.10%,1.56M,15.34,117.0K,3.65,3,-17.81%,5.11%
inte.ob,0.01,0.011,0.078,0.36,91,0,-76.60%,-68.60%,63.0K,5.77M,4.00M,none,none,none,-0.23,-0.77,0.05,1.05,0.03,none,none,0.01,6.04M,-1.16M,-4.45M,-73.70%,-69.50%,30-Sep,none,-116.60%,none,0.76,none,143.0K,"7,000",0.20%,0,0.41,17.0K,,,0,5.11%
intg,16,18.84,21,0.37,318,0,-0.80%,33.00%,35.5M,1.89M,800.0K,none,none,none,8.98,-1.3,1.19,6.84,0.47,2.1,none,2.75,13.2M,1.03M,-2.51M,-19.10%,-39.50%,30-Jun,none,-1.82%,-13.92%,none,3.45,878.0K,0,none,0,none,"1,000",18.84,19.34,2.65%,5.11%
inti,4.5,8.33,49.875,3.74,74.2K,62.0K,-79.20%,-72.10%,389.3M,46.7M,9.80M,none,none,none,3.96,0.19,0.02,2.75,3.1,2.11,43.84,3.03,128.7M,5.55M,8.90M,6.90%,4.30%,31-Dec,none,4.17%,4.91%,7.81,0,144.9M,903.0K,9.20%,1.08M,9.12,99.0K,8.23,8.15,-0.97%,5.11%
intl,6.188,15.18,16.95,1.54,175.0K,166.0K,29.20%,73.30%,359.5M,23.7M,15.2M,0.04,0.26%,none,4.94,0.43,0.18,15.57,0.5,3.07,35.3,0.97,393.6M,31.3M,10.9M,2.80%,4.70%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,15.78,18.15,15.02%,5.11%
intm,0.96,1.3,24.5,4.56,30.4K,30.0K,-94.00%,-91.90%,32.9M,25.3M,8.10M,none,none,none,4.28,-4.17,-2.69,1.92,1.09,0.3,none,0.68,48.6M,-6.06M,-105.7M,none,-82.20%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,1.1,2.06,87.27%,5.11%
into,0.75,0.92,2.906,1.74,"5,273",0,-68.30%,-57.50%,4.27M,4.65M,1.60M,none,none,none,0.83,-0.15,-0.04,0.1,0.41,1.11,none,9.27,461.0K,-65.0K,-698.0K,none,-57.30%,30-Apr,none,-8.49%,-12.00%,19.69,0.59,1.91M,"1,000",0.10%,"1,000",0.06,18.0K,0.92,0.9,-2.17%,5.11%
intr.ob,0.03,0.03,1,-0.72,"8,136","3,000",-94.00%,-92.00%,728.0K,24.3M,9.00M,none,none,none,0.03,0,0.01,none,0.01,0.95,none,none,0,none,0,none,none,31-Dec,none,0.00%,0.00%,3.63,0,362.0K,none,none,none,none,none,,,0,5.11%
intt,2.63,3.89,11.125,0.61,13.0K,"5,000",-57.40%,-42.80%,33.7M,8.66M,2.70M,none,none,none,3.57,-1.03,-1.19,7.88,0.84,1.09,none,0.49,65.8M,-10.6M,-8.53M,-13.00%,-16.20%,31-Dec,none,-19.37%,-23.22%,6.2,0,6.97M,"3,000",0.10%,10.0K,1,"3,000",3.6,3.02,-16.11%,5.11%
intu,22.625,40.22,69.313,1.91,3.11M,4.06M,-40.40%,-20.10%,8.50B,211.2M,160.5M,none,none,none,10.27,-0.47,-0.29,6.01,7.86,3.92,none,6.7,1.26B,219.6M,-97.1M,-7.60%,-3.50%,31-Jul,none,-3.23%,-4.53%,2.73,0.02,1.65B,5.25M,3.30%,3.63M,1.55,3.39M,42.25,43.9,3.91%,5.11%
intv,5.75,12.46,14,1.75,236.0K,219.0K,38.00%,85.00%,416.7M,33.4M,28.1M,none,none,none,3.6,0.35,0.05,7.46,0.49,3.46,36.01,1.67,256.9M,16.3M,11.9M,4.60%,1.00%,28-Feb,none,4.63%,10.76%,1.61,0.33,16.3M,769.0K,2.70%,635.0K,3.88,198.0K,13.4,14.11,5.30%,5.11%
intxa.ob,0.03,0.035,0.234,1.25,29.3K,37.0K,-84.00%,-78.60%,2.13M,60.9M,26.4M,none,none,none,-0.37,-0.25,-0.06,0.19,0.01,none,none,0.19,9.02M,-9.25M,-12.1M,none,none,30-Jun,none,-27.36%,-94.58%,0.16,none,450.0K,200.0K,0.80%,154.0K,2.04,98.0K,0.031,0.03,-3.23%,5.11%
inty.ob,0.75,1.25,6,none,182,0,-78.30%,-70.80%,17.6M,14.1M,5.90M,none,none,none,none,-3.56,-0.08,1.81,none,none,none,0.69,25.5M,-29.7M,-50.0M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,,,0,5.11%
intz,0.62,1.02,12.5,1.74,53.0K,67.0K,-89.70%,-86.10%,21.0M,20.6M,13.6M,none,none,none,1.96,-1.99,-0.34,0.88,1.18,0.52,none,1.16,18.0M,-47.6M,-40.9M,none,none,31-Dec,none,-52.92%,-63.92%,4.23,0,24.2M,65.0K,0.50%,52.0K,2.41,27.0K,1.07,1.92,79.44%,5.11%
inv,1.625,1.95,4.75,0.87,"6,545",13.0K,-41.10%,-21.10%,15.5M,7.96M,4.60M,0.8,41.03%,none,9.52,-0.56,-0.52,8.22,2.48,0.2,none,0.24,65.5M,58.3M,-4.47M,-6.80%,-10.90%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,1.9,1.85,-2.63%,5.11%
invb.ob,6,8.9,8.9,-0.23,545,"1,000",34.30%,80.20%,8.37M,940.0K,500.0K,none,none,none,8.67,1.17,0.48,10.98,3.25,1.03,7.59,0.81,10.8M,none,1.14M,10.50%,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,8.9,9.75,9.55%,5.11%
invi.ob,0.09,0.16,1.125,0.29,14.8K,32.0K,-81.70%,-75.50%,1.45M,9.03M,5.00M,none,none,none,0.37,-0.81,-0.18,0.43,0,0.43,none,0.37,3.86M,-6.41M,-7.32M,none,none,31-Dec,none,-63.88%,-101.91%,0.73,0.61,"3,000",0,none,19.0K,none,17.0K,0.12,0.16,33.33%,5.11%
invn,1.313,14.06,16.08,-0.2,935.6K,1.27M,368.70%,528.50%,183.0M,13.0M,7.90M,none,none,none,3.75,0.07,0.03,5.11,0.69,3.75,203.77,2.75,72.6M,1.09M,1.00M,1.40%,1.30%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,14.71,25.15,70.97%,5.11%
invt.ob,0.09,0.14,1.469,-2.11,127.7K,175.0K,-82.10%,-76.00%,5.72M,40.9M,1.20M,none,none,none,-0.16,-0.25,-0.18,0.01,0,none,none,13.55,1.72M,-24.3M,-35.4M,none,none,30-Sep,none,-170.83%,-268.30%,0.03,none,123.0K,none,none,none,none,none,0.135,0.07,-48.15%,5.11%
invx,1.26,2.24,16.438,1.92,93.5K,48.0K,-84.10%,-78.60%,33.6M,15.0M,12.0M,0.16,7.14%,none,4.67,-1.73,-0.19,9.95,0.14,0.48,none,0.23,149.7M,-11.8M,-25.9M,-17.30%,-18.80%,30-Sep,none,-16.20%,-30.11%,1,0.72,2.18M,37.0K,0.30%,25.0K,0.51,72.0K,2.21,3.44,55.66%,5.11%
io,7.375,8.05,14.25,1.07,99.1K,104.0K,-5.30%,27.00%,412.7M,51.3M,35.6M,none,none,none,6.38,-0.06,0.05,3.7,1.59,1.26,none,2.18,212.1M,-4.25M,-1.40M,1.50%,-5.20%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,8.45,7.8,-7.69%,5.11%
iog,22.25,29.3,34.1,none,10.8K,"6,000",-0.70%,33.20%,3.29B,112.3M,99.9M,none,none,none,7.88,2.84,4.68,50.09,3.12,3.72,10.33,0.58,5.61B,402.9M,315.6M,5.60%,7.20%,31-Mar,none,6.70%,76.14%,1.67,1.99,350.5M,"2,000",0.00%,"2,000",0.15,13.0K,,28.8,0,5.11%
iom,5.5,6.98,35,0.96,657.7K,247.0K,-72.60%,-63.20%,377.5M,54.1M,48.7M,none,none,none,8.57,-1.4,-1.32,17.94,6.66,0.81,none,0.39,975.5M,63.5M,-75.2M,-7.70%,0.70%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,,6.8,0,5.11%
iomt,2.5,2.7,39.5,1.47,"3,455","4,000",-83.10%,-77.40%,5.34M,1.98M,1.00M,none,none,none,3.87,-0.11,-0.08,3.79,0.81,0.7,none,0.71,7.57M,1.03M,-189.0K,-2.50%,11.30%,31-Dec,none,-2.00%,-2.38%,8.3,0.17,1.60M,"2,000",0.20%,0,1,"2,000",2.6,3.45,32.69%,5.11%
ion,19.27,23.5,31.57,0.66,43.1K,32.0K,11.60%,49.60%,408.6M,17.4M,8.50M,none,none,none,22.5,-0.11,0.24,29.49,1.35,1.04,none,0.8,499.0M,-481.0K,-1.20M,-0.30%,-0.10%,31-Dec,none,-0.30%,-0.32%,1.77,0.18,23.6M,608.0K,7.20%,568.0K,15.2,40.0K,23.38,27.15,16.12%,5.11%
iona,6.9,12,77.25,2.51,230.0K,148.0K,-82.40%,-76.40%,317.9M,26.5M,2.10M,none,none,none,15.99,-0.77,-1.15,7.65,2.31,0.75,none,1.57,181.9M,7.19M,-19.6M,-10.80%,-12.60%,31-Dec,none,-7.52%,-9.38%,1.57,0,61.3M,684.0K,32.60%,541.0K,3.04,225.0K,11.96,16.41,37.21%,5.11%
ionn,0.08,0.33,3,3.31,78.5K,98.0K,-78.00%,-70.50%,6.01M,18.2M,17.1M,none,none,none,0.32,-0.64,-0.13,0.54,0.13,1.04,none,0.61,9.83M,-9.88M,-11.6M,none,none,31-Mar,none,-81.79%,-108.06%,2.16,0.06,2.40M,"4,000",0.00%,"3,000",0.12,33.0K,0.56,0.475,-15.18%,5.11%
iot,6.94,17.85,19.75,0.01,"2,364","7,000",102.50%,171.60%,27.0M,1.51M,700.0K,0.6,3.36%,none,25.46,0.26,-0.48,8.23,2.69,0.7,70,2.17,12.8M,4.08M,311.0K,2.40%,-28.00%,31-Dec,none,0.33%,0.79%,none,1.48,4.08M,0,none,0,none,"1,000",18,18,0.00%,5.11%
iox,1.3,2.1,6.813,1.04,"7,909","2,000",-65.70%,-54.00%,13.7M,6.54M,4.10M,none,none,none,0.47,-1.2,-0.57,1.74,0.98,4.43,none,1.21,11.4M,-7.83M,-7.88M,-69.10%,-75.30%,30-Jun,none,-41.51%,-97.97%,2.37,0.37,6.44M,"5,000",0.10%,0,0.28,18.0K,2.09,2.09,0.00%,5.11%
ip,30.7,35.8,43.313,0.98,2.75M,2.79M,-0.70%,33.10%,17.3B,483.1M,357.5M,1,2.79%,none,23.25,-2.13,-0.57,58.02,1.54,1.54,none,0.62,27.3B,2.42B,-987.0M,-3.10%,1.50%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,36.2,39.95,10.36%,5.11%
ipar,4.917,8,13.5,0.44,"5,045","3,000",33.30%,78.80%,139.6M,17.4M,1.50M,none,none,none,3.2,0.39,0.1,5.71,1.65,2.5,20.62,1.4,112.4M,16.6M,7.63M,8.20%,12.70%,31-Dec,none,9.61%,14.11%,2.85,0.12,28.8M,0,none,0,none,"5,000",7.9,7.6,-3.80%,5.11%
ipcr,18.5,27.1,28.89,0.05,89.2K,190.0K,39.40%,87.00%,679.2M,25.1M,11.0M,none,none,none,21.21,-0.44,-2.75,5.88,0.92,1.28,none,4.61,152.7M,none,-8.33M,-5.50%,-5.50%,31-Dec,none,-1.19%,-1.48%,none,0,23.0M,"6,000",0.10%,"2,000",0.29,21.0K,27.09,26.1,-3.65%,5.11%
ipetz.ob,0.04,0.045,1.65,none,36.0K,"4,000",-91.50%,-88.60%,1.56M,34.7M,13.9M,none,none,none,1.97,-33.03,-0.68,1.63,0.67,0.02,none,0.03,30.9M,-125.5M,-127.3M,none,none,31-Dec,none,-149.64%,-171.94%,5.67,0.01,23.1M,201.0K,1.40%,1.02M,0.45,446.0K,,,0,5.11%
ipg,18.25,22.45,47.438,1.06,1.77M,1.56M,-48.40%,-30.80%,8.44B,375.8M,315.7M,0.38,1.69%,none,6.16,0.17,-0.3,19.49,1.97,3.65,132.84,1.15,7.18B,661.4M,61.9M,1.70%,8.00%,31-Dec,none,1.03%,2.63%,0.93,1.18,739.9M,6.93M,2.20%,6.72M,5.52,1.25M,22.37,29.13,30.22%,5.11%
ipic,1.156,7.5,10,1.71,165.3K,334.0K,328.60%,474.70%,324.4M,43.3M,26.8M,none,none,none,0.61,0.11,0.09,0.11,0.76,12.19,68.18,67.75,4.93M,3.46M,5.36M,108.10%,67.60%,30-Sep,none,12.60%,23.80%,4.01,0,32.9M,548.0K,2.00%,607.0K,5.03,109.0K,7.5,8.5,13.33%,5.11%
ipii.ob,0.14,0.22,0.51,none,"5,636","4,000",-47.00%,-28.90%,2.03M,9.22M,7.40M,none,none,none,0.51,0.01,0.01,4.59,0.17,0.43,22,0.05,42.3M,1.54M,98.0K,0.20%,2.30%,31-Dec,none,0.58%,2.12%,1.17,1.64,1.54M,none,none,none,none,none,0.2,0.2,0.00%,5.11%
ipix,1.1,2.3,24.38,3.64,66.0K,17.0K,-89.50%,-85.90%,15.4M,6.71M,2.00M,none,none,none,-1,-44.62,-2.19,5.73,0.84,none,none,0.4,36.7M,-295.2M,-276.2M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,2.1,2.12,0.95%,5.11%
ipk,16.188,23.8,26.99,none,"2,000","1,000",47.00%,97.20%,43.1M,1.81M,700.0K,none,none,none,33.23,0.56,0.51,38.74,7.52,0.72,42.12,0.61,75.7M,5.99M,1.11M,1.50%,1.70%,31-Dec,none,1.33%,1.81%,1.4,0.07,13.6M,25.0K,3.60%,25.0K,12.5,"2,000",23.8,22.62,-4.96%,5.11%
iply,0.3,0.7,4.031,1.67,61.7K,67.0K,-80.40%,-73.70%,31.5M,45.0M,13.9M,none,none,none,-0.63,-0.83,-0.34,2.93,0.02,none,none,0.24,93.6M,-19.4M,-27.6M,-27.20%,-23.30%,31-Dec,none,-44.98%,none,0.78,none,677.0K,175.0K,1.30%,178.0K,1.56,112.0K,0.69,0.87,26.09%,5.11%
ipnc.ob,5,6.25,8,none,45,0,-21.90%,4.80%,3.99M,638.0K,600.0K,none,none,none,8.78,-0.28,0,4.76,1.64,0.71,none,1.31,2.94M,none,-161.0K,-5.50%,none,31-Dec,none,-0.42%,-2.89%,none,none,none,none,none,none,none,none,5.5,6.05,10.00%,5.11%
ipr,28.25,32.1,46.74,none,"4,682","1,000",-21.70%,5.00%,3.59B,111.7M,102.8M,none,none,none,23.07,0,0.36,none,3.71,1.39,none,none,0,none,0,none,none,31-Dec,none,0.00%,0.00%,1.1,0.83,414.5M,120.0K,0.10%,117.0K,30,"4,000",,29.05,0,5.11%
iprlz.ob,0.04,0.055,1.125,0.89,182.8K,38.0K,-95.10%,-93.40%,1.78M,32.4M,19.8M,none,none,none,8.46,-2.44,-0.43,50.33,0.36,0.01,none,0,1.63B,-18.6M,-79.0M,-4.80%,-4.10%,30-Sep,none,-7.07%,-25.26%,2.5,1.71,11.7M,223.0K,1.10%,241.0K,5.31,42.0K,,,0,5.11%
iprt,0.16,0.22,2,none,24.2K,39.0K,-85.00%,-79.90%,6.64M,30.2M,11.0M,none,none,none,0.65,-0.69,-0.15,0.39,0.59,0.34,none,0.56,11.8M,-25.3M,-20.7M,none,none,31-Dec,none,none,none,none,none,none,none,none,none,none,none,0.21,0.19,-9.52%,5.11%
ips,7.313,10.45,16.35,0.76,"2,091","1,000",4.50%,40.10%,426.5M,40.8M,40.4M,0.32,3.03%,none,22.12,1.12,0.2,20.24,0.55,0.47,9.34,0.52,915.1M,133.4M,52.8M,7.00%,10.80%,31-Dec,none,3.82%,5.93%,2.06,0.43,22.5M,"3,000",0.00%,"8,000",0.75,"4,000",,10.84,0,5.11%
ipsw,8.938,12.4,13.5,1.04,"4,091","1,000",34.10%,79.80%,24.8M,2.00M,1.30M,0.44,3.55%,none,7.52,1.19,0.32,9.23,3.78,1.65,10.46,1.34,20.1M,none,2.57M,12.80%,44.70%,31-Dec,none,0.88%,16.25%,none,none,7.56M,"2,000",0.20%,"2,000",0.33,"6,000",12.7,13,2.36%,5.11%
ipt,0.09,0.22,0.375,-6.24,46.3K,46.0K,17.00%,56.90%,2.99M,13.6M,7.20M,none,none,none,0.43,-0.79,-0.08,3.63,0.25,0.51,none,0.06,46.1M,-7.93M,-9.64M,-20.90%,-30.70%,30-Dec,none,none,none,none,none,none,none,none,none,none,none,0.2,0.49,145.00%,5.11%
ipur.ob,0.07,0.62,1.17,none,"9,364",33.0K,264.70%,389.10%,6.48M,10.4M,4.80M,none,none,none,0.06,-0.02,0,0.07,0.01,9.69,none,8.49,744.0K,-559.0K,-177.0K,-23.80%,-92.30%,30-Jun,none,-17.76%,-28.83%,1.53,0,48.0K,none,none,none,none,none,0.62,0.38,-38.71%,5.11%
ipvc.ob,0.03,0.035,0.625,1.56,60.6K,41.0K,-91.70%,-88.90%,907.0K,25.9M,11.9M,none,none,none,-0.03,-0.24,-0.06,0.01,0,none,none,5.64,117.0K,-4.33M,-4.59M,none,none,31-Dec,none,-297.31%,-1186.92%,0.15,none,59.0K,none,none,none,none,none,0.031,0.027,-12.90%,5.11%
ipx,11.64,12.1,19.5,0.71,13.0K,16.0K,-6.00%,26.00%,331.8M,27.4M,12.0M,0.2,1.65%,none,12.84,1.61,0.4,11.66,1.67,0.94,7.53,1.04,333.5M,218.0M,46.0M,13.80%,16.60%,31-Dec,none,2.54%,13.63%,none,3.54,45.7M,11.0K,0.10%,28.0K,1,11.0K,12.15,16,31.69%,5.11%
ipxl,4.875,9.07,17.11,none,155.9K,168.0K,26.20%,69.20%,420.0M,46.3M,15.3M,none,none,none,1.2,-0.61,-0.15,0.17,0.9,7.58,none,54.28,6.53M,-20.2M,-23.8M,none,none,31-Dec,none,-31.31%,-59.71%,7.64,0.07,41.7M,205.0K,1.30%,121.0K,1.59,129.0K,8.95,10.6,18.44%,5.11%
iqw,19.23,19.43,27.61,0.25,20.3K,50.0K,-11.90%,18.10%,2.84B,146.1M,144.7M,0.48,2.47%,none,18.58,1.84,0.46,43.57,0.01,1.05,10.54,0.45,6.41B,1.02B,267.0M,4.50%,9.80%,31-Dec,none,4.41%,10.61%,1.19,0.91,1.91M,2.22M,1.50%,2.28M,277.75,"8,000",19.48,21.85,12.17%,5.11%
ir,30.4,37.3,50.28,1.35,829.8K,745.0K,-1.20%,32.50%,6.28B,168.4M,134.7M,0.68,1.82%,none,22.91,1.54,0.2,55.71,0.38,1.63,24.19,0.67,9.17B,1.16B,252.2M,2.80%,9.10%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,38.51,41.89,8.78%,5.11%
irad.ob,0.05,0.38,1,4.54,66.2K,379.0K,127.50%,205.20%,3.05M,8.04M,4.90M,none,none,none,-0.04,0,0,0.2,0.01,none,none,1.87,1.52M,-24.0K,-24.0K,-1.60%,-1.60%,30-Sep,none,-11.29%,none,0.45,none,103.0K,none,none,none,none,none,0.36,0.48,33.33%,5.11%
irce.ob,0.04,0.06,0.19,-0.49,"2,409","2,000",-20.00%,7.30%,844.0K,14.1M,8.90M,none,none,none,-0.06,-0.07,-0.02,0.44,0,none,none,0.14,6.21M,175.0K,-1.01M,-16.20%,-9.40%,31-Dec,none,-20.89%,none,0.21,none,58.0K,"2,000",0.00%,"2,000",0.07,27.0K,0.06,0.051,-15.00%,5.11%
ire,27.4,36.35,42,1.02,"9,818",15.0K,19.20%,59.80%,8.69B,239.1M,219.9M,none,none,none,41.98,3.13,1.49,18.8,1.22,0.87,11.61,1.93,4.73B,none,787.1M,19.30%,none,31-Mar,none,1.08%,8.37%,none,none,none,none,none,none,none,none,35.95,35,-2.64%,5.11%
irep,2.29,4.05,7.3,none,18.8K,"5,000",15.70%,55.20%,35.7M,8.82M,1.60M,none,none,none,2.08,-0.51,0.12,12.42,1.83,1.95,none,0.33,119.5M,42.0M,-3.70M,-3.10%,6.30%,31-Dec,none,-1.79%,-19.57%,2.37,5.39,16.2M,22.0K,1.40%,17.0K,1.83,12.0K,4.2,2.9,-30.95%,5.11%
irets,7.438,9.07,10.49,-0.08,17.0K,13.0K,13.40%,52.00%,220.6M,24.3M,22.6M,0.59,6.50%,none,4.95,0.39,0.12,3.3,0.55,1.83,23.5,2.75,80.1M,51.4M,9.33M,14.70%,13.60%,30-Apr,none,2.22%,8.06%,none,3.1,13.3M,73.0K,0.30%,73.0K,4.06,18.0K,9.05,9.11,0.66%,5.11%
irex.ob,8,15,20.5,0.32,0,0,-25.00%,0.60%,6.43M,429.0K,200.0K,none,none,none,40.77,4.61,0.77,324.86,10.6,0.37,3.25,0.05,140.0M,5.22M,1.99M,2.00%,3.50%,31-Dec,none,4.84%,12.05%,2.22,0,4.55M,none,none,none,none,none,,,0,5.11%
irf,24.05,35.11,69.5,2.41,905.0K,1.03M,-15.70%,13.10%,2.22B,63.3M,52.5M,none,none,none,15.68,0.81,0.15,13.86,12.89,2.24,43.56,2.53,897.6M,62.9M,55.2M,6.10%,6.30%,30-Jun,none,3.20%,5.74%,7.43,0.58,815.4M,6.95M,13.20%,6.02M,8.64,805.0K,37.23,33.46,-10.13%,5.11%
iri,1,2.74,3.2,0.18,15.2K,12.0K,62.30%,117.70%,27.4M,9.99M,5.60M,none,none,none,1.47,0.21,0.04,2.7,0.26,1.87,13.11,1.01,28.7M,4.41M,2.22M,7.70%,14.90%,31-Dec,none,8.23%,16.72%,2.18,0.41,2.59M,"5,000",0.10%,0,0.17,29.0K,2.99,2.69,-10.03%,5.11%
iric,2.75,7.25,11.52,0.55,106.1K,81.0K,46.80%,96.90%,212.5M,29.3M,18.2M,none,none,none,7.19,-0.23,-0.02,18.95,0.34,1.01,none,0.38,551.6M,-9.85M,-6.60M,-1.20%,-1.80%,31-Dec,none,-1.84%,-3.13%,0.79,0.04,9.87M,170.0K,0.90%,237.0K,1.18,144.0K,7.24,8.16,12.71%,5.11%
iridq,0.188,0.66,1,-1.26,68.0K,54.0K,225.10%,336.00%,13.0M,19.7M,18.9M,none,none,none,8.46,-115.87,-28.91,0.12,9.91,0.08,none,5.43,1.64M,-555.5M,-1.56B,none,none,31-Dec,none,-42.76%,-198.24%,0.07,14.09,195.4M,13.8M,73.30%,13.6M,none,0,,,0,5.11%
irix,3,4.78,9.875,1.25,18.4K,"3,000",-46.90%,-28.80%,32.3M,6.75M,5.70M,none,none,none,4.3,-0.05,0.03,3.98,1.51,1.11,none,1.2,27.5M,-1.57M,-314.0K,-1.10%,-5.70%,30-Dec,none,none,none,none,none,none,none,none,none,none,none,4.78,4.44,-7.11%,5.11%
irm,29.5,39.05,45,0.54,182.5K,196.0K,18.60%,59.00%,2.18B,55.8M,29.6M,none,none,none,16.52,0.12,-0.09,19.57,0.66,2.36,317.48,2,1.10B,280.4M,6.93M,0.40%,12.50%,31-Dec,none,0.16%,0.75%,0.94,1.57,36.8M,2.30M,7.80%,2.31M,16.77,137.0K,38.6,43.3,12.18%,5.11%
irne,0.004,0.004,1.375,1.63,"2,591",12.0K,-99.70%,-99.60%,60.0K,15.0M,3.30M,none,none,none,1.34,-0.32,-0.07,20.45,0.05,0,none,0,289.5M,3.01M,-4.58M,-1.60%,-0.40%,31-Dec,none,-5.86%,-21.77%,0.93,1.49,806.0K,27.0K,0.50%,28.0K,none,0,,,0,5.11%
irs,7.4,7.75,21.375,1.2,10.5K,37.0K,-63.40%,-50.90%,164.3M,21.2M,18.4M,none,none,none,23.16,-1.31,-0.44,8.2,2.42,0.34,none,0.94,173.8M,39.4M,-27.8M,-16.00%,22.70%,30-Jun,none,-3.37%,-5.33%,0.57,0.39,51.3M,19.0K,0.10%,25.0K,3.17,"6,000",7.5,5.63,-24.93%,5.11%
irsn,1,1.58,70.62,1.8,208.6K,24.0K,-96.30%,-95.00%,4.38M,2.77M,2.50M,none,none,none,0.26,-9.34,-1.64,4.47,0.36,6.13,none,0.35,10.6M,-21.8M,-22.1M,none,none,1-Oct,none,none,none,none,none,none,none,none,none,none,none,1.63,1.25,-23.31%,5.11%
irt,7.5,10.66,10.89,0.33,53.4K,31.0K,33.20%,78.70%,324.8M,30.5M,28.0M,0.94,8.82%,none,7.74,0.86,0.19,2.63,0.16,1.38,12.39,4.05,86.5M,61.8M,26.3M,30.90%,27.40%,31-Dec,none,none,none,none,none,none,none,none,none,none,none,10.74,10.9,1.49%,5.11%
isa,3.15,3.5,7,0.4,11.2K,"1,000",-37.80%,-16.60%,98.9M,28.3M,3.96M,none,none,none,2.78,-1.07,-0.15,18.31,0.34,1.26,none,0.19,519.5M,-10.1M,-30.3M,-5.80%,-1.90%,31-Dec,none,-10.01%,-37.24%,0.65,0.7,9.64M,"2,000",0.10%,"1,000",0.33,"6,000",3.5,4.25,21.43%,5.11%
isac.ob,0.25,0.32,1.75,0.38,"2,136",0,-74.40%,-65.70%,2.52M,7.87M,5.70M,none,none,none,1.5,-1.81,-0.29,11.65,0.12,0.21,none,0.03,92.0M,-11.2M,-14.2M,-15.50%,-13.80%,31-Dec,none,-35.10%,-76.49%,2.15,0.91,983.0K,0,none,"2,000",none,"2,000",0.32,0.26,-18.75%,5.11%
isca,30.4,37.12,48,0.61,107.5K,98.0K,14.00%,52.90%,1.97B,53.2M,27.6M,0.06,0.16%,none,18.91,1.43,0.41,9.19,0.91,1.96,26.03,4.04,487.7M,201.9M,75.6M,15.50%,30.50%,30-Nov,none,4.48%,7.80%,0.64,0.41,48.3M,1.22M,4.40%,1.12M,15,81.0K,36.98,39.71,7.38%,5.11%
isco.ob,0.68,1.01,4,-0.44,111.0K,84.0K,-64.10%,-51.90%,108.9M,107.9M,105.7M,none,none,none,0.24,-0.42,-0.05,0.03,0.06,4.26,none,33.68,2.19M,-15.3M,-22.9M,none,none,31-Dec,none,-102.46%,-150.93%,4.58,0,6.21M,234.0K,2.10%,98.0K,1.56,150.0K,0.98,0.84,-14.29%,5.11%
