"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","Delta Return"
"AFB","14.61","16.85","16.89","0.09","55,587.7","48,271.4","10.99%","8.85%","345.27M","20.49M","0","1.00","5.90%","N/A","15.288","0.60","0.60","1.276","N/A","1.10","27.94","13.22","26.15M","N/A","12.36M","67.61%","88.07%","31-Oct","30-Apr-06","2.78%","3.45%","28.125","N/A","N/A","196.65K","N/A","195.48K","3.9","49,000","16.93","15.09","-10.87","3.50","-14.37"
"AFBA.OB","15.60","16.00","17.60","0.11","407.692","42.8571","-8.83%","8.85%","8.18M","511.00K","N/A","N/A","N/A","N/A","20.136999","N/A","N/A","N/A","5.674","0.79","N/A","N/A","N/A","N/A","N/A","N/A","N/A","30-June","31-Dec-05","N/A","N/A","N/A","N/A","2.90M","N/A","N/A","N/A","N/A","100","","","0.00","3.50","-3.50"
"AFCE","12.30","14.57","28.82","1","227,945","216,829","-34.31%","8.85%","426.09M","29.24M","24.15M","N/A","N/A","N/A","-1.59","0.32","0.32","4.71","0.092","N/A","45.39","3.07","138.70M","42.10M","7.90M","6.85%","25.16%","25-Dec","09-Jul-06","11.42%","N/A","1.111","N/A","2.70M","4.29M","14.80%","4.02M","27.1","125,759","14.48","16.30","12.57","3.50","9.07"
"AFDG.OB","N/A","0.31","N/A","0","N/A","N/A","N/A","N/A","3.10M","10.00M","740.00K","N/A","N/A","N/A","-0.007","-0.00","-0.00","0.019","0","N/A","N/A","13.52","184.85K","N/A","-22.05K","-11.93%","-11.93%","Financial","Mortgage Investment","-1522.58%","N/A","0.018","N/A","1.17K","N/A","N/A","N/A","N/A","30,500","","","0.00","3.50","-3.50"
"AFFI.OB","0.05","0.52","0.85","2.58","82,421.5","62,028.6","657.14%","8.85%","23.35M","44.90M","36.61M","N/A","N/A","N/A","-0.041","-0.01","-0.01","0.001","0.002","N/A","N/A","846.82","28.10K","-478.97K","-581.34K","N/A","-1722.12%","31-Dec","30-Jun-06","-359.72%","N/A","0.167","N/A","72.10K","0","N/A","0","0","18,850","","","0.00","3.50","-3.50"
"AFFM","11.28","14.61","17.03","-0.97","75,813.8","44,628.6","-1.82%","8.85%","221.17M","15.14M","7.38M","0.08","0.60%","N/A","13.639","1.03","1.03","24.575","1.674","1.07","14.18","0.59","373.47M","37.64M","15.77M","4.22%","8.93%","31-Dec","30-Jun-06","3.82%","7.95%","1.734","0.275","25.35M","391.38K","2.60%","366.68K","3.9","50,229","14.45","16.61","14.95","3.50","11.45"
"AFFX","17.50","20.63","52.44","1.47","1,493,880","922,429","-50.78%","8.85%","1.40B","67.68M","67.22M","N/A","N/A","22-Aug-00","7.926","0.47","0.47","5.471","3.851","2.64","43.89","3.91","361.39M","67.57M","31.78M","8.79%","7.27%","31-Dec","30-Jun-06","3.61%","7.44%","4.03","0.225","260.60M","12.42M","18.50%","11.71M","6.4","866,758","21.23","25.50","20.11","3.50","16.61"
"AFG","32.07","47.17","48.19","0.8","327,318","265,914","43.68%","8.85%","3.71B","78.61M","52.38M","0.55","1.20%","14-Mar-88","31.5","3.60","3.60","52.786","11.051","1.50","13.10","0.91","4.12B","703.49M","263.06M","6.96%","12.51%","31-Dec","30-Jun-06","1.41%","10.45%","1.73","0.364","868.77M","1.69M","2.20%","1.81M","5.3","133,200","47.20","47.86","1.40","3.50","-2.10"
"AFIC.OB","N/A","1.02","N/A","0","N/A","N/A","N/A","N/A","5.84M","5.73M","N/A","N/A","N/A","N/A","0.014","-0.00","-0.00","N/A","0.018","72.86","N/A","N/A","N/A","N/A","-22.31K","N/A","N/A","31-Dec","30-Jun-06","-8.43%","-23.94%","4.131","N/A","104.19K","N/A","N/A","N/A","N/A","0","","","0.00","3.50","-3.50"
"AFL","41.63","45.47","49.65","0.59","1,971,180","1,992,560","1.83%","8.85%","22.57B","496.29M","479.27M","0.52","1.10%","19-Mar-01","14.421","3.17","3.17","29.062","1.862","3.16","14.34","1.56","14.49B","2.54B","1.60B","11.05%","16.73%","31-Dec","30-Jun-06","2.63%","20.50%","0.375","0.149","924.00M","4.56M","0.90%","3.35M","2.5","1,842,800","45.51","44.92","-1.30","3.50","-4.80"
"AFMIU.OB","N/A","6.02","N/A","N/A","N/A","N/A","N/A","N/A","25.06M","4.16M","N/A","N/A","N/A","N/A","3.195","N/A","N/A","N/A","0.04","1.88","N/A","N/A","N/A","N/A","N/A","N/A","N/A","31-Dec","30-Jun-06","N/A","N/A","N/A","N/A","164.87K","N/A","N/A","N/A","N/A","9,500","6.08","5.97","-1.81","3.50","-5.31"
"AFOP","0.81","1.49","2.70","3.86","70,930.8","42,371.4","53.61%","8.85%","59.95M","40.24M","22.46M","N/A","N/A","N/A","0.905","-0.04","-0.04","0.56","0.73","1.65","N/A","2.69","22.25M","-1.17M","-1.44M","-6.47%","-12.33%","31-Dec","30-Jun-06","-3.92%","-3.92%","7.63","0.014","29.37M","113.19K","0.40%","97.81K","1.7","9,955","1.51","1.93","27.81","3.50","24.31"
"AFP","20.75","26.85","27.80","0.55","6,544.62","1,428.57","14.98%","8.85%","222.21M","8.28M","1.93M","N/A","N/A","02-Sep-03","18.115","1.32","1.32","7.311","15.561","1.48","20.29","3.57","62.35M","18.21M","12.26M","22.04%","17.98%","31-Dec","30-Jun-06","4.65%","8.18%","7.99","0.082","128.79M","64.12K","2.40%","70.74K","30.7","1,900","26.81","27.16","1.31","3.50","-2.20"
"AFPC.OB","1.51","1.75","2.83","2.44","16,798.5","11,514.3","-20.40%","8.85%","21.70M","12.40M","7.83M","N/A","N/A","N/A","0.48","0.10","0.10","2.497","0.42","3.33","18.23","0.79","25.00M","1.34M","1.01M","4.02%","4.15%","30-June","30-Jun-06","6.22%","18.99%","3.773","N/A","5.21M","N/A","N/A","N/A","N/A","3,100","","","0.00","3.50","-3.50"
"AFR","9.52","11.33","14.49","1.37","1,416,520","859,814","-19.51%","8.85%","1.47B","129.59M","122.88M","0.76","6.50%","N/A","6.462","-0.45","-0.45","4.415","0.638","1.74","N/A","2.58","564.38M","262.19M","-110.97M","-9.97%","11.49%","31-Dec","30-Jun-06","1.09%","-11.89%","1.44","3.642","82.71M","8.55M","6.90%","7.77M","6.9","522,000","10.95","11.67","6.58","3.50","3.07"
"AFT","0.83","1.61","3.00","-1.34","29,236.9","35,985.7","-40.29%","8.85%","36.64M","22.76M","19.32M","N/A","N/A","N/A","0.393","-0.717","-0.717","2.754","0.254","4.15","N/A","0.60","61.99M","-9.77M","-16.14M","-26.04%","-20.56%","31-Dec","30-Jun-06","-19.54%","-97.90%","1.248","0.566","5.78M","4.84K","N/A","2.30K","0.2","2,000","","","0.00","3.50","-3.50"
"AFVS.OB","1.61","8.30","12.80","0.87","15,250.8","13,057.1","85.71%","8.85%","176.62M","21.28M","6.13M","N/A","N/A","N/A","-0.001","-0.17","-0.17","0.009","0","N/A","N/A","974.42","184.54K","-1.69M","-3.56M","N/A","-1228.72%","31-Dec","31-Mar-06","-209.92%","-11970.27%","0.104","N/A","8.53K","N/A","N/A","N/A","N/A","7,383","7.90","7.85","-0.63","3.50","-4.13"
"AG","14.60","25.03","28.69","1.77","1,566,240","1,080,890","32.82%","8.85%","2.28B","91.01M","90.45M","N/A","N/A","01-Feb-96","17.223","0.22","0.22","57.887","1.831","1.45","113.77","0.44","5.24B","372.50M","22.20M","0.42%","4.56%","31-Dec","30-Jun-06","3.97%","1.45%","1.729","0.564","166.60M","8.34M","9.20%","9.63M","8.4","1,051,300","25.41","26.75","5.27","3.50","1.77"
"AGA.TO","none","31.90","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","0.77","none","none","none","none","132.5%","17.4%","0","1","none","none","none","none","none","none","none","none","none","359,960","30.70","33.75","9.93","3.50","6.43"
"AGAX.OB","1.01","3.30","6.40","1","678.462","2,857.14","-9.33%","8.85%","15.09M","4.57M","1.12M","N/A","N/A","09-Oct-01","2.924","-1.82","-1.82","7.996","0.035","1.16","N/A","0.49","31.97M","2.14M","-7.27M","-22.75%","-1.51%","31-Jan","31-Jul-06","-1.12%","-50.94%","1.298","0.23","161.00K","N/A","N/A","N/A","N/A","600","","","0.00","3.50","-3.50"
"AGCI.OB","0.02","0.03","0.71","-3.37","7,943.08","2,828.57","-95.71%","8.85%","288.18K","9.61M","9.53M","N/A","N/A","27-Aug-04","0.02","-0.05","-0.05","0.054","0.004","1.50","N/A","0.61","471.38K","-497.14K","-450.37K","-95.54%","-107.37%","31-Dec","30-Jun-06","-49.89%","-204.91%","3.177","N/A","35.83K","N/A","N/A","N/A","N/A","30,000","","","0.00","3.50","-3.50"
"AGDC.OB","N/A","0.16","N/A","0","N/A","N/A","N/A","N/A","102.88K","643.00K","315.75K","N/A","N/A","N/A","0","-0.00","-0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-2.50K","N/A","N/A","30-June","30-Jun-06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","","0.00","3.50","-3.50"
"AGE","38.41","53.25","56.17","0.7","436,775","713,057","25.05%","8.85%","4.05B","76.11M","75.13M","0.80","1.50%","01-Oct-97","25.805","3.70","3.70","37.9","14.481","2.10","14.39","1.42","2.89B","N/A","283.19M","9.80%","20.57%","28-Feb","31-Aug-06","N/A","N/A","N/A","N/A","1.10B","2.31M","3.10%","2.63M","7.6","421,400","53.19","57.05","7.26","3.50","3.76"
"AGEN","1.38","1.54","7.22","0.96","202,652","109,257","-71.03%","8.85%","70.60M","45.84M","27.04M","N/A","N/A","N/A","0.066","-1.42","-1.42","0.013","0.695","23.79","N/A","123.91","580.86K","-54.74M","-65.09M","N/A","-10563.27%","31-Dec","30-Jun-06","-35.74%","-183.61%","2.677","16.807","31.87M","4.64M","16.20%","4.42M","28.8","177,013","1.60","2.19","36.87","3.50","33.37"
"AGI.TO","none","9.19","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","-0.02","none","none","none","none","N/A","N/A","","","none","none","none","none","none","none","none","none","none","916,982","8.95","9.20","2.79","3.50","-0.71"
"AGII","26.07","31.14","37.00","1.74","152,914","133,657","18.18%","8.85%","990.84M","31.82M","22.62M","N/A","N/A","05-Jun-91","23.719999","2.26","2.26","28.672","7.788","1.31","13.80","1.14","867.70M","130.50M","72.90M","8.61%","13.16%","31-Dec","30-Jun-06","2.12%","10.67%","1.819","0.194","247.80M","1.89M","7.10%","1.74M","10","42,310","30.78","34.01","10.49","3.50","6.99"
"AGIL","5.08","6.63","7.78","1.14","363,845","334,657","-7.16%","8.85%","364.31M","54.95M","53.33M","N/A","N/A","17-Mar-00","4.712","-0.14","-0.14","2.449","3.176","1.40","N/A","2.74","132.70M","-1.70M","-7.76M","-5.85%","-11.83%","30-Apr","30-Apr-06","-2.22%","-2.98%","3.832","N/A","174.54M","2.88M","5.30%","2.79M","6.5","295,523","6.34","6.74","6.31","3.50","2.81"
"AGIS.OB","N/A","0.0445","N/A","1.33","N/A","N/A","N/A","N/A","51.05M","1.15B","132.39M","N/A","N/A","N/A","-0.004","-0.002","-0.002","0.096","N/A","N/A","N/A","0.54","92.64M","5.80M","-1.98M","-2.13%","2.06%","31-Dec","30-Jun-06","6.10%","N/A","0.686","N/A","N/A","N/A","N/A","N/A","N/A","1,000,600","0.04","0.04","0.00","3.50","-3.50"
"AGIX","12.11","13.31","21.79","1.17","358,758","309,014","-19.70%","8.85%","525.09M","39.45M","38.22M","N/A","N/A","N/A","-3.145","-1.92","-1.92","0.27","4.913","N/A","N/A","49.39","10.42M","-64.73M","-74.00M","N/A","-671.15%","31-Dec","30-Jun-06","-18.42%","N/A","5.844","N/A","193.82M","12.61M","33.10%","12.87M","44.2","270,508","12.92","13.00","0.62","3.50","-2.88"
"AGL","13.26","18.28","21.10","1.44","52,712.3","22,100","2.78%","8.85%","173.68M","9.50M","8.17M","0.44","2.40%","N/A","15.404","-0.22","-0.22","46.41","0.609","1.18","N/A","0.41","424.95M","17.27M","-311.00K","-0.48%","-0.42%","28-Jan","29-Jul-06","-0.34%","-0.21%","1.428","0.598","5.79M","223.55K","2.40%","281.52K","6.5","9,100","17.13","20.94","22.24","3.50","18.74"
"AGLV.OB","0.01","0.0058","0.11","3.29","437,002","71,366.7","200.00%","8.85%","958.65K","165.29M","81.70M","N/A","N/A","N/A","-0.021","-0.041","-0.041","0.087","0.001","N/A","N/A","0.11","9.95M","-1.73M","-4.66M","-46.87%","-18.32%","31-Dec","30-Jun-06","-45.69%","N/A","0.241","N/A","209.61K","N/A","N/A","N/A","N/A","9,849,449","","","0.00","3.50","-3.50"
"AGM","22.44","27.08","32.47","2.44","47,356.9","47,485.7","7.76%","8.85%","290.73M","10.74M","9.92M","0.40","1.50%","02-Aug-99","20.188999","2.35","2.35","5.7","33.05","1.33","11.51","4.56","63.41M","N/A","26.80M","45.80%","63.20%","31-Dec","30-Jun-06","0.69%","11.77%","0.401","16.565","354.85M","1.94M","21.10%","1.10M","61.4","23,000","25.05","26.30","4.99","3.50","1.49"
"AGN","85.90","113.62","117.99","1.38","814,732","642,557","24.79%","8.85%","17.13B","150.80M","150.34M","0.40","0.30%","10-Dec-99","19.018","-0.58","-0.58","19.138","5.936","5.94","N/A","6.50","2.62B","799.60M","-80.00M","-3.05%","25.60%","31-Dec","30-Jun-06","11.18%","-4.00%","3.085","0.581","895.20M","3.66M","2.40%","3.17M","4.8","894,800","110.34","115.50","4.68","3.50","1.17"
"AGO","21.45","25.99","27.45","1.64","101,688","111,771","12.79%","8.85%","1.90B","73.23M","46.87M","0.14","0.50%","N/A","22.979","2.10","2.10","4.213","2.73","1.14","12.36","6.17","310.75M","N/A","156.75M","50.44%","45.92%","Financial","Life Insurance","3.24%","9.49%","0.483","0.117","199.93M","409.98K","0.60%","381.20K","4.1","210,200","25.77","25.17","-2.33","3.50","-5.83"
"AGP","14.60","29.59","35.20","0.57","635,977","637,857","-16.06%","8.85%","1.54B","52.01M","51.20M","N/A","N/A","19-Jan-05","13.545","1.20","1.20","48.951","9.465","2.17","24.70","0.61","2.52B","133.59M","63.22M","2.51%","4.08%","31-Dec","30-Jun-06","6.22%","9.50%","1.273","0.003","492.26M","3.61M","7.00%","3.53M","9.5","595,900","29.19","29.96","2.64","3.50","-0.86"
"AGR","8.81","15.44","17.18","3.36","1,328,200","1,244,410","50.78%","8.85%","2.62B","169.73M","169.58M","N/A","N/A","31-May-05","2.028","0.08","0.08","8.988","2.887","7.67","197.95","1.65","1.60B","270.00M","10.00M","0.88%","6.51%","30-Sep","30-Jun-06","4.56%","2.26%","2.128","1.052","490.00M","4.48M","2.60%","4.53M","4.9","1,948,600","15.05","16.98","12.82","3.50","9.32"
"AGSI.OB","0.03","0.03","0.54","2.4","95,046.2","109,871","-92.11%","8.85%","975.00K","32.50M","21.84M","N/A","N/A","N/A","0.024","-0.20","-0.20","N/A","0.004","1.29","N/A","N/A","N/A","-6.34M","-6.09M","N/A","N/A","31-July","30-Apr-06","-69.96%","-206.86%","0.566","0.353","128.28K","N/A","N/A","N/A","N/A","13,017","","","0.00","3.50","-3.50"
"AGT","0.16","0.40","0.86","3.54","349,683","280,057","18.75%","8.85%","48.56M","121.40M","96.84M","N/A","N/A","N/A","0.252","-0.18","-0.18","0.267","0.025","1.51","N/A","1.53","30.15M","-11.77M","-18.91M","-68.46%","-47.70%","31-Dec","30-Jun-06","-11.94%","-51.09%","1.092","0.239","2.98M","40.26K","N/A","145.94K","0.2","203,900","0.39","0.38","-2.56","3.50","-6.07"
"AGU","19.14","26.63","28.45","1.64","447,968","609,071","22.34%","8.85%","3.52B","132.00M","131.71M","0.11","0.40%","08-Jan-96","9.977","1.56","1.56","30.682","0.523","2.68","17.05","0.87","4.05B","589.00M","207.00M","5.11%","10.64%","31-Dec","30-Jun-06","9.20%","17.28%","2.089","0.536","69.00M","1.70M","N/A","1.86M","4.7","354,300","26.77","28.02","4.67","3.50","1.17"
"AGU.TO","none","29.60","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","","none","none","none","none","N/A","N/A","","","none","none","none","none","none","none","none","none","none","242,755","29.94","31.31","4.58","3.50","1.07"
"AGWT.OB","0.10","0.10","0.35","1.05","11,192.3","13,242.9","-37.50%","8.85%","23.54M","235.39M","103.43M","N/A","N/A","N/A","-0.005","-0.01","-0.01","0.008","0","N/A","N/A","13.40","1.76M","-2.31M","-2.55M","-145.26%","-145.26%","31-Mar","30-Jun-06","-65.89%","N/A","0.122","N/A","35.55K","N/A","N/A","N/A","N/A","0","","","0.00","3.50","-3.50"
"AGYS","11.99","14.19","21.25","2.42","187,814","173,100","-15.57%","8.85%","433.99M","30.58M","30.04M","0.12","0.90%","07-Sep-95","12.785","1.08","1.08","56.717","4.011","1.10","13.11","0.25","1.72B","74.96M","34.94M","2.01%","3.70%","31-Mar","30-Jun-06","5.30%","9.37%","1.483","0.153","122.68M","1.38M","4.80%","1.34M","8.2","196,707","13.84","14.83","7.15","3.50","3.65"
"AH","40.93","56.90","65.11","1.14","565,271","921,357","36.45%","8.85%","2.02B","35.50M","32.71M","N/A","N/A","N/A","22.398001","3.83","3.83","54.014","1.008","2.55","14.87","1.07","1.90B","290.41M","139.54M","7.35%","13.56%","31-Dec","30-Jun-06","8.92%","19.55%","0.93","1.063","35.79M","2.48M","7.20%","2.30M","6.4","1,007,900","57.45","51.46","-10.43","3.50","-13.93"
"AHCI","1.45","2.01","6.80","2.12","248,845","121,571","-62.54%","8.85%","90.36M","44.96M","31.48M","N/A","N/A","N/A","4.813","0.26","0.26","6.78","0.053","0.44","7.88","0.31","304.45M","26.14M","11.52M","3.79%","6.32%","30-Sep","30-Jun-06","3.89%","5.51%","1.126","0.336","2.40M","814.09K","1.90%","1.01M","11","477,498","1.99","2.00","0.50","3.50","-3.00"
"AHD","20.55","20.65","23.35","0","45,037.8","35,985.7","N/A","8.85%","N/A","N/A","N/A","0.85","4.10%","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.20K","N/A","111.09K","0.2","11,700","20.89","21.65","3.64","3.50","0.14"
"AHDS.OB","0.08","0.17","1.50","4","3,257.58","157.143","346.67%","8.85%","5.07M","29.84M","N/A","N/A","N/A","N/A","-0.018","-0.23","-0.23","0.011","0.002","N/A","N/A","22.17","255.70K","-1.44M","-5.66M","N/A","-591.35%","31-Dec","30-Jun-06","N/A","N/A","0.342","N/A","52.77K","N/A","N/A","N/A","N/A","58,250","","","0.00","3.50","-3.50"
"AHFPE.OB","N/A","0.10","N/A","-5.58","N/A","N/A","N/A","N/A","375.60K","3.76M","3.27M","N/A","N/A","N/A","-0.804","-0.09","-0.09","0.057","N/A","N/A","N/A","1.81","206.99K","-105.35K","-341.02K","-164.75%","-75.30%","Industrial Goods","Cement","-18.95%","N/A","0.011","N/A","N/A","N/A","N/A","N/A","N/A","0","","","0.00","3.50","-3.50"
"AHG","17.37","19.72","33.01","1.69","406,720","420,714","-39.93%","8.85%","836.84M","42.44M","42.04M","N/A","N/A","N/A","8.639","1.61","1.61","32.797","0.75","2.29","12.23","0.57","1.47B","277.39M","73.34M","4.98%","9.22%","31-Dec","30-Jun-06","7.16%","17.83%","2.105","1.601","31.82M","4.21M","10.00%","4.44M","14","194,800","19.42","23.29","19.93","3.50","16.43"
"AHGP","19.05","19.70","26.25","0","68,812.3","79,171.4","N/A","8.85%","1.18B","59.86M","N/A","0.86","4.30%","N/A","3.509","1.33","1.33","14.498","1.221","5.70","14.82","1.34","893.93M","N/A","81.86M","9.17%","21.23%","31-Dec","30-Jun-06","N/A","N/A","1.5","0.771","73.08M","16.10K","0.10%","19.25K","0.2","89,731","19.32","19.63","1.60","3.50","-1.90"
"AHIZQ.PK","N/A","0.59","N/A","N/A","N/A","N/A","N/A","N/A","5.30M","8.98M","5.38M","N/A","N/A","N/A","-21.112","-4.75","-4.75","103.078","0.392","N/A","N/A","0.01","925.64M","30.22M","-42.62M","-4.60%","0.09%","31-Dec","30-Jun-06","0.19%","N/A","0.495","N/A","3.52M","N/A","N/A","N/A","N/A","27,500","0.50","0.55","10.00","3.50","6.50"
"AHL","21.44","25.80","30.15","1.04","232,266","282,529","-14.56%","8.85%","2.46B","95.25M","94.74M","0.60","2.30%","N/A","20.278","-2.01","-2.01","19.998","8.364","1.27","N/A","1.41","1.74B","-114.60M","-175.20M","-9.66%","-7.69%","31-Dec","30-Jun-06","-1.45%","-8.94%","1.945","0.116","796.70M","2.32M","N/A","2.42M","11.3","334,800","25.74","24.82","-3.57","3.50","-7.08"
"AHM","25.45","34.84","36.96","1.41","620,377","566,286","15.46%","8.85%","1.75B","50.14M","44.77M","4.04","11.70%","N/A","22.348","3.74","3.74","19.004","6.068","1.57","9.32","1.90","924.85M","N/A","183.50M","21.27%","33.83%","31-Dec","30-Jun-06","1.45%","17.83%","0.187","12.468","304.27M","7.13M","15.90%","5.83M","11.7","449,700","34.90","34.17","-2.09","3.50","-5.59"
"AHN","0.31","0.41","0.59","0.98","83,735.4","35,842.9","-6.82%","8.85%","15.89M","38.76M","33.96M","N/A","N/A","N/A","0.116","-0.05","-0.05","2.147","0.022","3.53","N/A","0.21","74.37M","1.42M","-1.55M","-1.58%","1.28%","28-Feb","31-May-06","2.37%","-267.20%","2.075","2.265","862.00K","225","N/A","17.73K","0","10,000","","","0.00","3.50","-3.50"
"AHO","6.72","10.66","10.79","0.58","314,702","420,243","41.34%","8.85%","16.58B","1.56B","1.56B","N/A","N/A","30-Jul-97","3.92","0.11","0.11","37.44","1.54","2.75","96.91","0.29","58.23B","3.15B","-33.17M","0.41%","2.93%","1-Jan","16-Jul-06","4.91%","0.33%","1.175","1.172","2.40B","703.78K","N/A","766.96K","2.5","339,100","10.65","10.53","-1.13","3.50","-4.63"
"AHOM.OB","0.46","0.58","4.24","4.46","46,553.8","198,486","-86.00%","8.85%","10.19M","17.57M","15.16M","N/A","N/A","15-Jul-96","-0.818","0.09","0.09","18.735","0.415","N/A","6.82","0.03","326.89M","49.54M","1.51M","0.46%","4.32%","31-Dec","30-Jun-06","4.32%","N/A","1.84","N/A","7.30M","N/A","N/A","N/A","N/A","55,546","0.72","0.95","31.94","3.50","28.44"
"AHPI","4.70","5.12","6.41","1.03","12,967.7","7,771.43","-1.53%","8.85%","40.20M","7.85M","4.61M","N/A","N/A","N/A","5.178","0.20","0.20","7.339","0.343","0.99","25.10","0.70","57.55M","3.29M","1.65M","2.87%","3.72%","30-June","30-Jun-06","2.80%","4.15%","3.034","N/A","2.70M","102","N/A","201","0","3,100","5.22","5.33","2.11","3.50","-1.39"
"AHR","9.70","13.06","13.57","1.42","339,178","344,286","12.58%","8.85%","745.67M","57.10M","56.85M","1.16","8.70%","N/A","9.896","1.36","1.36","1.641","3.476","1.33","9.59","8.17","91.80M","N/A","74.92M","88.97%","73.70%","31-Dec","30-Jun-06","1.85%","13.76%","0.245","6.494","198.49M","2.40M","4.20%","2.70M","7.5","454,200","12.63","14.32","13.38","3.50","9.88"
"AHS","14.73","23.94","24.94","1.43","486,834","299,829","54.58%","8.85%","766.03M","32.00M","31.57M","N/A","N/A","N/A","6.25","0.88","0.88","29.295","0.153","3.81","27.36","0.84","903.75M","74.32M","29.40M","3.25%","6.91%","31-Dec","30-Jun-06","9.17%","17.06%","1.92","1.095","4.89M","2.50M","8.00%","2.49M","5.3","207,900","23.67","25.29","6.84","3.50","3.34"
"AHT","9.78","11.89","13.22","0.73","456,992","287,286","10.33%","8.85%","859.90M","72.32M","60.37M","0.80","6.70%","N/A","8.476","0.18","0.18","9.073","1.032","1.40","66.42","1.95","440.94M","123.00M","2.28M","4.40%","16.99%","31-Dec","30-Jun-06","3.45%","2.62%","4.817","1.43","74.61M","2.82M","4.10%","3.06M","11.4","333,800","11.88","12.88","8.42","3.50","4.92"
"AIB","39.50","54.01","54.75","0.92","77,463.1","83,928.6","26.77%","8.85%","23.44B","434.00M","433.70M","1.69","3.10%","17-May-99","23.309999","3.96","3.96","12.94","37.241","2.30","13.64","4.14","5.61B","N/A","1.53B","31.70%","52.80%","31-Dec","30-Jun-06","0.95%","16.49%","N/A","N/A","16.16B","518.50K","N/A","539.21K","8.2","124,800","53.55","54.64","2.04","3.50","-1.47"
"AIC","3.77","3.87","7.11","0.21","383,523","1,056,960","-38.83%","8.85%","239.92M","61.99M","47.28M","1.18","30.80%","N/A","4.257","0.17","0.17","2.962","0.807","0.91","22.63","1.28","186.76M","N/A","10.77M","5.77%","6.28%","31-Dec","30-Jun-06","0.24%","3.72%","6.76","15.077","50.02M","2.86M","4.70%","3.25M","6.7","839,000","0.00","0.00","0.00","3.50","-3.50"
"AICX.OB","0.84","3.15","3.20","1.25","84,316.9","230,800","125.00%","8.85%","17.60M","5.59M","5.21M","N/A","N/A","N/A","0.603","-0.09","-0.09","4.015","0.594","5.22","N/A","0.87","20.19M","373.00K","-452.00K","-2.24%","-2.04%","31-Dec","30-Jun-06","-0.60%","-15.39%","1.082","0.216","3.32M","0","N/A","0","0","3,250","3.07","3.66","19.22","3.50","15.72"
"AID","0.73","1.30","3.25","5.86","22,923.1","9,642.86","-44.25%","8.85%","32.70M","25.15M","9.92M","N/A","N/A","N/A","0.216","-0.00","-0.00","0.313","0.034","5.83","N/A","4.02","7.88M","650.80K","-22.97K","-0.29%","0.35%","31-Dec","30-Jun-06","4.33%","-0.42%","4.653","0.018","851.33K","26.63K","0.10%","25.95K","0.7","6,700","","","0.00","3.50","-3.50"
"AIG","57.52","66.29","71.09","1.41","6,681,070","6,536,030","9.41%","8.85%","172.27B","2.60B","2.15B","0.66","1.00%","31-Jul-00","33.757999","3.268","3.268","40.658","23.575","1.97","20.28","1.63","105.79B","19.06B","8.54B","8.10%","15.65%","31-Dec","30-Jun-06","1.20%","9.69%","0.89","1.451","61.27B","24.81M","1.00%","17.07M","3.9","7,264,800","66.30","67.17","1.31","3.50","-2.19"
"AIH","5.92","6.48","10.85","0.17","1,420","1,057.14","-29.57%","8.85%","18.99M","2.93M","984.40K","N/A","N/A","22-Feb-00","6.964","0.11","0.11","49.862","1.262","0.93","57.35","0.13","144.07M","3.45M","331.00K","0.23%","2.12%","25-Dec","02-Jul-06","7.43%","1.65%","3.702","N/A","3.70M","0","N/A","1.21K","0","1,100","","","0.00","3.50","-3.50"
"AIM","5.21","5.70","11.30","3.81","6,655.38","12,985.7","-9.84%","8.85%","20.34M","3.57M","3.17M","N/A","N/A","N/A","3.124","0.56","0.56","8.651","0.341","1.79","10.20","0.61","32.79M","2.01M","2.13M","6.48%","3.97%","31-Jan","28-Jul-06","4.34%","18.83%","3.419","0.24","1.22M","9.70K","0.30%","11.18K","1.3","12,400","6.15","6.04","-1.79","3.50","-5.29"
"AIMM.PK","0.88","1.09","1.70","N/A","11,709.2","4,085.71","15.38%","8.85%","18.44M","16.92M","15.40M","N/A","N/A","N/A","0.52","-0.05","-0.05","0.017","0.521","2.02","N/A","61.68","288.00K","N/A","-780.00K","-270.83%","-409.03%","31-Dec","30-Jun-06","-7.75%","-8.49%","59.7","N/A","8.82M","N/A","N/A","N/A","N/A","16,800","1.10","1.08","-1.82","3.50","-5.32"
