"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","Delta Return"
"AVPI.OB","0.60","0.60","1.99","5.02","21,353.8","4,000","N/A","8.77%","11.79M","19.65M","10.95M","N/A","N/A","N/A","0.238","-0.30","-0.30","1.541","0.321","2.52","N/A","0.63","18.60M","-1.42M","-3.59M","-18.80%","18.16%","31-Dec","30-Jun-06","-11.32%","-155.18%","1.711","0.039","6.31M","N/A","N/A","N/A","N/A","3,500","","","0.00","3.50","-3.50"
"AVR","19.28","21.22","40.83","0","528,863","639,371","N/A","8.77%","887.65M","41.83M","23.65M","N/A","N/A","N/A","0.547","1.62","1.62","37.341","0.932","37.31","13.09","0.65","1.30B","117.62M","58.99M","4.52%","8.29%","31-Dec","30-Jun-06","N/A","N/A","1.973","8.316","38.98M","1.19M","2.90%","1.42M","2.2","687,800","20.85","24.60","17.99","3.50","14.48"
"AVRX","2.20","2.76","9.15","0","10,323.1","13,014.3","N/A","8.77%","27.90M","10.11M","5.92M","N/A","N/A","N/A","2.514","-2.33","-2.33","0.365","2.028","1.09","N/A","11.12","2.50M","-12.70M","-15.97M","N/A","-657.08%","31-Dec","30-Jun-06","-30.16%","-95.52%","4.234","0.36","20.50M","7.07K","0.10%","5.30K","0.8","20,475","2.57","2.99","16.34","3.50","12.84"
"AVSO.OB","1.00","1.69","2.60","1.31","16,600","30,675","33.07%","8.77%","19.83M","11.74M","7.55M","N/A","N/A","N/A","0.096","0.19","0.19","3.453","0.015","17.40","8.99","0.51","38.46M","3.71M","2.84M","7.80%","8.55%","30-June","31-Mar-06","25.40%","N/A","1.042","1.981","172.00K","N/A","N/A","N/A","N/A","31,240","1.75","1.65","-5.71","3.50","-9.22"
"AVSR","1.15","1.49","2.22","7.96","6,664.62","4,287.5","-27.67%","8.77%","52.25M","35.07M","12.85M","N/A","N/A","N/A","-0.29","-0.30","-0.30","0.211","0.187","N/A","N/A","6.43","7.26M","-13.61M","-10.30M","-142.01%","-205.45%","31-Dec","30-Jun-06","-51.81%","N/A","0.969","N/A","6.55M","11.03K","0.10%","9.61K","1.3","2,340","","","0.00","3.50","-3.50"
"AVSY.OB","N/A","0.79","N/A","-0.27","N/A","N/A","N/A","N/A","6.98M","8.84M","646.07K","N/A","N/A","N/A","0.315","0.03","0.03","0.301","0.107","2.38","23.94","2.49","2.66M","1.06M","290.80K","10.93%","16.37%","31-Dec","30-Jun-06","7.34%","11.02%","1.762","0.035","941.36K","N/A","N/A","N/A","N/A","5,000","","","0.00","3.50","-3.50"
"AVT","16.70","19.32","27.25","2.4","1,350,890","753,925","-20.46%","8.77%","2.83B","146.66M","138.51M","N/A","N/A","29-Sep-00","19.305","1.39","1.39","97.666","1.887","1.02","13.90","0.20","14.25B","586.21M","204.55M","1.44%","3.53%","1-July","01-Jul-06","5.74%","8.30%","1.832","0.436","276.71M","3.84M","2.60%","3.69M","2.5","775,900","19.45","23.68","21.75","3.50","18.25"
"AVTI.OB","0.03","0.04","1.01","4.64","136,571","215,212","-96.00%","8.77%","246.52K","6.16M","5.71M","N/A","N/A","N/A","-1.524","-0.91","-0.91","1.156","0.006","N/A","N/A","0.06","4.80M","-3.09M","-3.89M","-75.07%","-67.71%","30-Sep","30-Jun-06","-99.45%","N/A","0.219","N/A","37.54K","0","N/A","0","0","38,133","","","0.00","3.50","-3.50"
"AVTO.OB","N/A","0.41","N/A","0.19","N/A","N/A","N/A","N/A","24.19M","59.00M","4.98M","N/A","N/A","N/A","0.016","-0.18","-0.18","N/A","0.012","28.75","N/A","N/A","N/A","N/A","-4.06M","N/A","N/A","31-Dec","30-Jun-06","N/A","N/A","5.223","N/A","736.50K","N/A","N/A","N/A","N/A","34,100","0.41","0.45","9.76","3.50","6.25"
"AVTR","49.60","59.91","63.49","0.98","22,490.8","25,250","6.11%","8.77%","490.84M","8.19M","5.18M","N/A","N/A","N/A","45.216","8.91","8.91","79.284","7.715","1.32","6.73","0.76","644.11M","137.04M","84.77M","14.19%","19.49%","31-Dec","30-Jun-06","13.49%","26.42%","12.34","0.374","63.22M","726.09K","9.10%","843.30K","32.8","16,818","58.80","65.01","10.56","3.50","7.06"
"AVTX.OB","0.02","0.03","0.06","-2.86","129,811","354,188","-40.00%","8.77%","1.19M","39.53M","0","N/A","N/A","N/A","-0.003","-0.00","-0.00","0.001","0.002","N/A","N/A","31.81","41.01K","-18.72K","-55.42K","-135.15%","-134.34%","30-Sep","30-Jun-06","-30.94%","N/A","0.495","N/A","71.33K","N/A","N/A","N/A","N/A","43,000","","","0.00","3.50","-3.50"
"AVX","11.27","17.78","19.90","2.49","526,538","476,438","41.45%","8.77%","3.06B","171.93M","50.00M","0.15","0.90%","02-Jun-00","8.731","0.62","0.62","8","4.385","2.01","28.59","2.18","1.38B","193.85M","107.75M","7.81%","9.64%","31-Mar","30-Jun-06","4.92%","7.40%","6.613","N/A","753.85M","2.95M","1.70%","2.68M","6.8","690,300","17.52","15.76","-10.05","3.50","-13.55"
"AVXT.OB","0.10","0.18","0.35","6.65","20,632.3","15,800","-45.45%","8.77%","11.26M","62.55M","38.44M","N/A","N/A","N/A","0.049","-0.07","-0.07","0.018","0.057","3.88","N/A","10.81","1.10M","-4.40M","-4.50M","N/A","-428.42%","31-Dec","30-Jun-06","-38.45%","-86.18%","1.872","0.116","3.58M","0","N/A","0","0","44,810","","","0.00","3.50","-3.50"
"AVY","50.25","60.01","63.94","1.01","418,937","407,475","15.18%","8.77%","6.59B","109.77M","99.51M","1.56","2.60%","23-Dec-96","16.632999","2.59","2.59","54.686","0.447","3.63","23.16","1.21","5.47B","732.60M","308.40M","4.76%","9.54%","31-Dec","01-Jul-06","7.82%","19.18%","1.104","0.629","49.10M","1.97M","1.80%","1.61M","5.7","541,300","60.10","63.14","5.06","3.50","1.56"
"AVZ","11.47","21.99","23.12","2.58","231,711","245,062","70.33%","8.77%","8.61B","391.62M","373.21M","0.31","1.40%","08-Nov-00","9.71","0.76","0.76","7.5","1.462","2.27","28.93","2.91","2.97B","765.32M","305.86M","10.31%","21.31%","31-Dec","30-Jun-06","5.79%","8.37%","0.981","0.338","572.46M","593.83K","N/A","723.83K","4","100,700","22.03","22.98","4.31","3.50","0.81"
"AVZA","3.46","3.88","5.26","0","9,395.38","14,485.7","N/A","8.77%","62.64M","16.14M","15.61M","N/A","N/A","N/A","2.419","-2.52","-2.52","19.382","1.106","1.51","N/A","0.42","141.36M","-6.79M","-18.36M","-12.99%","-9.28%","30-Sep","30-Jun-06","-6.87%","-78.79%","1.192","0.956","17.85M","7.98K","0.10%","5.53K","1.3","10,066","3.75","4.60","22.67","3.50","19.16"
"AW","7.72","11.07","14.38","2.18","1,874,450","1,475,680","32.89%","8.77%","4.07B","367.58M","366.85M","N/A","N/A","N/A","7.986","0.44","0.44","17.507","0.129","1.36","25.16","0.67","5.92B","1.47B","141.20M","3.44%","15.06%","31-Dec","30-Jun-06","4.09%","5.69%","0.665","2.047","47.60M","32.82M","9.00%","33.34M","25.5","2,306,000","11.19","12.15","8.58","3.50","5.08"
"AWBC","20.18","21.64","26.86","1.47","35,656.9","59,087.5","-7.95%","8.77%","246.05M","11.37M","11.20M","0.06","0.30%","05-Feb-04","13.087","1.06","1.06","5.778","3.725","1.64","20.42","3.92","62.10M","N/A","11.61M","18.69%","46.46%","31-Dec","30-Jun-06","0.94%","8.87%","N/A","N/A","42.35M","445.97K","4.00%","411.30K","11.5","115,316","20.91","20.92","0.05","3.50","-3.45"
"AWC","16.72","18.21","25.04","1.8","54,123.1","37,312.5","-0.22%","8.77%","5.31B","291.52M","215.50M","0.61","3.40%","N/A","4.24","1.10","1.10","0","0.053","4.31","16.55","3,942.34","1.35M","N/A","319.62M","23616.67%","-450.00%","31-Dec","30-Jun-06","N/A","N/A","0.066","0.211","15.49M","16.72K","N/A","480.64K","0.4","45,400","18.36","20.86","13.62","3.50","10.11"
"AWF","11.88","13.11","13.24","0.32","184,909","177,650","4.80%","8.77%","886.87M","67.65M","N/A","0.95","7.30%","N/A","14.543","1.89","1.89","1.073","N/A","0.90","6.95","12.20","72.58M","N/A","127.60M","175.81%","84.79%","31-Mar","31-Mar-06","3.92%","13.43%","0.515","0.052","N/A","33.88K","N/A","33.97K","0.2","235,400","13.18","13.55","2.81","3.50","-0.69"
"AWG","11.84","12.78","13.09","0.57","26,260","28,587.5","2.24%","8.77%","113.70M","8.90M","N/A","0.86","6.70%","N/A","14.472","1.62","1.62","1.006","N/A","0.88","7.91","12.72","8.95M","N/A","14.37M","160.47%","79.68%","31-Oct","30-Apr-06","3.41%","11.47%","1.586","0.023","N/A","7.32K","N/A","7.96K","0.7","53,300","12.78","13.26","3.76","3.50","0.25"
"AWGI","13.75","19.83","19.88","0.61","237,157","125,225","21.51%","8.77%","806.59M","40.67M","40.55M","N/A","N/A","N/A","14.706","0.49","0.49","18.34","0.207","1.35","40.47","1.09","742.51M","93.22M","21.86M","2.78%","6.75%","31-Dec","17-Jun-06","1.38%","3.71%","0.716","0.608","8.40M","2.71M","6.70%","2.59M","9.5","91,601","19.86","19.89","0.15","3.50","-3.35"
"AWH","34.10","40.35","41.00","0","235,183","206,743","N/A","8.77%","2.43B","60.28M","46.60M","N/A","N/A","N/A","31.200001","-1.90","-1.90","28.479","3.709","1.30","N/A","1.71","1.43B","N/A","-95.19M","-6.66%","-5.09%","31-Dec","30-Jun-06","N/A","N/A","1.344","0.755","223.60M","43.83K","0.10%","27.47K","0.3","27,200","39.30","41.76","6.26","3.50","2.76"
"AWLD.OB","0.41","0.66","2.25","12.54","464.615","337.5","15.79%","8.77%","3.51M","5.32M","2.63M","N/A","N/A","N/A","0.069","-0.12","-0.12","N/A","0.069","9.57","N/A","N/A","N/A","N/A","-651.41K","N/A","N/A","31-Dec","30-Jun-06","-104.39%","-168.33%","122.924","N/A","368.77K","0","N/A","0","0","2,700","","","0.00","3.50","-3.50"
"AWR","28.65","38.55","43.79","0.99","119,808","186,775","17.46%","8.77%","654.62M","16.98M","16.86M","0.90","2.40%","10-Jun-02","16.159","1.72","1.72","14.784","0.556","2.34","22.48","2.58","248.60M","87.75M","28.90M","11.84%","25.73%","31-Dec","30-Jun-06","4.64%","11.14%","0.896","1.082","9.43M","1.01M","6.00%","984.76K","11","198,000","37.58","42.00","11.76","3.50","8.26"
"AWRE","4.32","5.75","7.60","2.09","25,152.3","41,387.5","5.12%","8.77%","135.35M","23.54M","19.99M","N/A","N/A","N/A","2.069","-0.06","-0.06","0.846","1.612","2.81","N/A","6.96","19.68M","-950.00K","-1.32M","-6.71%","-14.39%","31-Dec","30-Jun-06","-1.98%","-2.75%","17.36","N/A","37.95M","145.36K","0.60%","153.12K","7.4","56,703","5.63","4.65","-17.41","3.50","-20.91"
"AWWC.OB","0.32","0.37","0.66","-0.45","1,453.85","1,812.5","-38.33%","8.77%","6.42M","17.34M","8.35M","N/A","N/A","N/A","-0.44","-0.44","-0.44","2.407","0.027","N/A","N/A","0.17","38.78M","-2.55M","-7.00M","-16.15%","-10.70%","31-Dec","30-Jun-06","-14.75%","N/A","0.72","N/A","474.49K","0","N/A","0","0","0","","","0.00","3.50","-3.50"
"AWX","3.80","5.49","5.60","1.14","8,023.08","5,262.5","29.48%","8.77%","20.88M","3.80M","2.19M","N/A","N/A","N/A","9.763","0.22","0.22","9.503","3.726","0.57","24.95","0.59","36.14M","1.06M","693.00K","2.31%","0.11%","31-Dec","30-Jun-06","0.06%","1.89%","3.162","0.006","14.17M","1.76K","0.10%","2.95K","0.2","900","","","0.00","3.50","-3.50"
"AWYI.OB","N/A","0.006","N/A","-7.23","N/A","N/A","N/A","N/A","230.32K","38.39M","18.62M","N/A","N/A","N/A","-0.073","-0.086","-0.086","0.063","0.001","N/A","N/A","0.09","2.61M","-2.39M","-3.59M","-137.38%","-96.62%","30-Sep","30-Jun-06","-65.01%","N/A","0.115","N/A","50.72K","N/A","N/A","N/A","N/A","0","","","0.00","3.50","-3.50"
"AXA","26.70","37.31","38.76","1.91","334,814","314,362","36.12%","8.77%","69.86B","1.87B","1.78B","0.91","2.40%","17-May-01","23.540001","3.48","3.48","70.87","14.58","1.58","10.72","0.52","133.30B","10.10B","6.67B","5.01%","6.65%","31-Dec","31-Dec-05","0.82%","16.78%","13.87","0.561","27.30B","893.51K","N/A","1.42M","2.5","284,000","36.92","38.12","3.25","3.50","-0.25"
"AXC.TO","none","25.15","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","","none","none","none","none","N/A","N/A","0","0","none","none","none","none","none","none","none","none","none","164,600","26.47","25.83","-2.42","3.50","-5.92"
"AXCA","10.86","13.53","18.94","2.53","180,760","457,275","8.76%","8.77%","619.40M","45.78M","41.91M","N/A","N/A","N/A","10.025","0.81","0.81","6.279","3.347","1.34","16.81","2.14","287.05M","89.84M","40.00M","13.93%","22.69%","30-Sep","30-Jun-06","6.35%","8.94%","3.873","0.276","153.23M","1.85M","N/A","1.89M","16.2","266,053","13.65","14.72","7.84","3.50","4.34"
"AXE","34.45","58.50","59.10","1.48","379,297","312,988","45.34%","8.77%","2.29B","39.14M","33.54M","N/A","N/A","26-Oct-95","21.006001","3.01","3.01","112.713","0.534","2.75","19.42","0.52","4.35B","277.70M","125.90M","2.90%","5.85%","30-Dec","30-Jun-06","7.65%","15.49%","2.55","0.855","20.90M","2.20M","6.60%","2.06M","6.5","340,500","55.70","59.76","7.29","3.50","3.79"
"AXK","1.96","2.31","3.60","0.45","11,213.8","48,175","-25.96%","8.77%","23.03M","9.97M","7.88M","N/A","N/A","N/A","0.737","-0.306","-0.306","0.028","0.353","3.11","N/A","81.28","280.93K","-2.97M","-3.05M","N/A","-1168.08%","31-July","30-Apr-06","-20.57%","-34.47%","13.89","N/A","3.52M","8.44K","0.10%","10.53K","2.1","47,900","2.13","2.51","17.84","3.50","14.34"
"AXL","14.45","16.94","23.46","1.81","729,538","1,413,720","-24.14%","8.77%","879.12M","51.90M","43.82M","0.60","3.60%","N/A","19.612","1.03","1.03","67.863","0.208","0.86","16.40","0.26","3.41B","303.60M","52.90M","1.55%","3.14%","31-Dec","30-Jun-06","2.39%","5.28%","1.27","0.581","10.80M","10.97M","22.70%","11.11M","24.1","839,900","16.99","18.75","10.36","3.50","6.86"
"AXL.TO","none","4.10","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","","none","none","none","none","N/A","N/A","0","0","none","none","none","none","none","none","none","none","none","33,195","4.15","4.20","1.20","3.50","-2.30"
"AXLE.PK","0.82","2.00","2.52","N/A","1,833.85","4,700","143.90%","8.77%","9.01M","4.50M","1.52M","N/A","N/A","N/A","1.84","0.32","0.32","5.304","0.613","1.09","6.23","0.38","23.89M","2.46M","1.47M","6.16%","6.74%","30-Sep","30-Jun-06","15.93%","19.49%","4.424","N/A","2.76M","N/A","N/A","N/A","N/A","10,000","2.00","1.99","-0.50","3.50","-4.00"
"AXM.V","none","1.05","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","","none","none","none","none","N/A","N/A","0","0","none","none","none","none","none","none","none","none","none","42,050","1.05","0.95","-9.52","3.50","-13.03"
"AXO","0.85","1.14","2.60","2.11","33,700","51,300","-34.29%","8.77%","39.86M","34.96M","25.54M","N/A","N/A","N/A","-0.203","-0.196","-0.196","0.959","0.096","N/A","N/A","1.20","32.75M","-5.71M","-6.70M","-20.47%","-20.29%","31-Dec","30-Jun-06","-37.02%","N/A","0.586","N/A","3.34M","102.44K","0.40%","98.48K","2.5","240,400","1.29","0.82","-36.43","3.50","-39.94"
