"Company","52-Week Low","Recent Price","52-Week High","Beta","Daily Volume (3-month avg)","Daily Volume (10-day avg)","52-Week Change","52-Week Change relative to S&P500","Market Capitalization","Shares Outstanding","Float","Annual Dividend","Dividend Yield","Last Split","Book Value","Earnings (ttm)","Earnings (mrq)","Sales (per share)","Cash","Price/Book","Price/Earnings","Price/Sales","Sales (ttm)","EBITDA","Income","Profit Margin","Operating Margin","Fiscal Year Ends","Most recent quarter","Return Assets","Return Equity","Current Ratio","Debt/Equity","Total Cash","Shares Short","Percent of Float","Shares Short (Prior Month)","Short Ratio","Daily Volume","Start Price","End Price","Company Return","Market Return","DCV","Delta Return"
"AMRI","2.98","3.02","6.97","1.18","104,629","171,500","-54.38%","-53.31%","90.50M","29.97M","22.22M","N/A","N/A","Aug 25, 2000","8.22","-2.04","-2.04","7.01","0.96","0.37","N/A","0.43","210.08M","3.80M","-61.05M","-29.06%","-6.58%","Dec 31","Jun 30, 2011","-2.51%","-22.07%","2.55","3.92","28.71M","997.62K","5.30%","1.06M","9.10","178,181","2.88","3.21","11.46","14.02","406048.32","-2.56"
"AMRN","2.43","10.63","19.87","1.51","2,183,970","1,495,530","265.29%","266.36%","1.42B","133.14M","116.52M","N/A","N/A","Jan 18, 2008","-1.16","-3.37","-3.37","N/A","0.99","N/A","N/A","N/A","N/A","-48.97M","-382.83M","N/A","N/A","Dec 31","Jun 30, 2011","-35.17%","N/A","35.14","N/A","131.45M","4.57M","N/A","4.41M","1.30","1,460,505","8.37","9.40","12.31","14.02","43140829.77","-1.71"
"AMRS","16.48","19.50","33.99","N/A","234,326","303,744","N/A","none","N/A","NaN","16.61M","N/A","N/A","N/A","0.00","-4.75","-4.75","3.58","4.16","N/A","N/A","N/A","123.13M","-116.55M","-163.54M","-98.70%","-101.79%","Dec 31","Jun 30, 2011","-24.88%","-47.78%","4.23","6.91","186.97M","2.85M","N/A","2.55M","12.60","347,240","18.32","20.50","11.90","14.02","5681013.68","-2.12"
"AMSC","4.34","5.08","38.88","1.58","1,303,740","1,979,580","-83.41%","-82.34%","257.56M","50.70M","39.07M","N/A","N/A","Nov 29, 1994","9.86","0.86","0.86","8.70","4.79","0.45","5.89","0.57","400.56M","75.60M","40.10M","10.01%","16.23%","Mar 31","Dec 31, 2010","8.08%","10.46%","3.75","N/A","242.93M","9.11M","N/A","9.83M","6.90","3,304,928","3.42","4.36","27.49","14.02","6698538.54","13.47"
"AMSF","15.58","19.26","27.75","0.56","62,437","54,556","5.25%","6.32%","354.77M","18.42M","18.15M","N/A","N/A","N/A","18.31","1.22","1.22","14.01","6.82","1.04","15.84","1.37","257.69M","30.23M","22.85M","8.87%","11.33%","Dec 31","Jun 30, 2011","1.59%","6.99%","2.45","10.70","125.55M","840.39K","5.30%","717.13K","10.40","51,945","18.12","21.55","18.93","14.02","2725338.60","4.91"
"AMSG","16.82","20.95","28.00","0.96","166,480","185,000","22.23%","23.30%","655.50M","31.29M","30.40M","N/A","N/A","Mar 25, 2004","18.79","1.52","1.52","24.19","1.05","1.11","13.77","0.89","734.28M","261.76M","51.26M","6.44%","32.24%","Dec 31","Jun 30, 2011","12.62%","25.49%","3.18","38.72","32.95M","1.77M","6.90%","1.72M","9.30","124,280","21.70","25.33","16.73","14.02","6500256.70","2.71"
"AMSWA","5.18","7.17","8.95","1.11","120,817","101,756","35.03%","36.10%","188.00M","26.22M","23.06M","0.36","5.00%","Jul 24, 1990","2.87","0.32","0.32","3.48","1.62","2.50","22.41","2.08","90.20M","12.94M","8.28M","9.18%","12.18%","Apr 30","Jul 31, 2011","6.91%","11.25%","2.44","N/A","42.55M","738.35K","3.70%","688.98K","5.20","105,584","6.99","7.82","11.87","14.02","823163.37","-2.14"
"AMT","45.85","52.29","56.84","0.56","3,242,320","3,778,240","1.16%","2.23%","20.71B","396.00M","395.79M","N/A","N/A","N/A","8.99","0.96","0.96","5.57","0.84","5.81","54.47","9.33","2.22B","1.37B","384.01M","17.29%","38.76%","Dec 31","Jun 30, 2011","5.50%","10.88%","0.70","158.39","333.90M","5.71M","1.40%","4.15M","1.40","3,679,492","52.86","55.10","4.24","14.02","349137762.72","-9.78"
"AMTCP","none","7.10","none","none","none","none","none","none","N/A","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","700","5.00","4.24","-15.20","14.02","2010.00","-29.22"
"AMTD","13.43","14.46","22.90","1.28","5,998,270","4,710,890","-11.56%","-10.49%","8.18B","565.39M","230.60M","0.20","1.40%","Jul 6, 1999","7.36","1.02","1.02","4.59","3.20","1.92","14.19","3.03","2.63B","N/A","588.06M","22.35%","36.44%","Sep 30","Jun 30, 2011","3.97%","14.69%","1.20","31.21","1.81B","9.88M","N/A","11.38M","1.30","4,425,785","14.05","16.78","19.43","14.02","64387047.40","5.41"
"AMWD","11.67","11.91","25.16","0.95","22,711","19,078","-32.10%","-31.03%","170.48M","14.31M","9.61M","0.36","3.00%","Sep 27, 2004","10.58","-1.35","-1.35","33.25","3.92","1.12","N/A","0.36","474.48M","-11.65M","-19.32M","-4.07%","-6.19%","Apr 30","Jul 31, 2011","-6.80%","-11.94%","2.36","16.80","56.12M","369.33K","3.40%","352.07K","13.90","9,849","11.86","17.01","43.42","14.02","266257.00","29.41"
"AMX","20.72","21.88","29.82","1.30","7,333,660","5,809,810","-17.29%","-16.22%","85.88B","3.93B","2.38B","0.31","1.50%","Jul 1, 2011","5.68","1.42","1.42","9.16","1.61","3.71","15.41","1.82","45.13B","17.41B","6.96B","15.43%","23.54%","Dec 31","Jun 30, 2011","11.89%","33.92%","1.04","90.87","6.30B","11.48M","N/A","11.87M","1.40","6,137,372","21.50","25.42","18.23","14.02","135954798.50","4.22"
"AMZN","151.40","223.61","244.00","0.90","5,766,710","7,143,600","39.12%","40.19%","101.50B","453.94M","365.18M","N/A","N/A","Sep 2, 1999","17.10","2.27","2.27","89.50","14.00","13.05","98.64","2.52","40.28B","1.83B","1.04B","2.58%","3.14%","Dec 31","Jun 30, 2011","5.21%","15.24%","1.40","N/A","6.36B","10.18M","N/A","8.38M","1.50","6,469,239","211.98","213.51","0.72","14.02","1387683826.08","-13.29"
"AN","22.22","32.94","41.55","1.09","1,099,990","1,560,030","38.99%","40.06%","4.80B","145.77M","48.99M","N/A","N/A","Jun 10, 1996","14.52","1.76","1.76","89.06","0.56","2.28","18.72","0.37","13.17B","620.30M","270.10M","2.02%","4.10%","Dec 31","Jun 30, 2011","5.90%","13.22%","1.13","147.35","81.80M","13.56M","20.50%","11.98M","11.40","1,449,135","31.54","38.94","23.46","14.02","46250949.88","9.45"
"ANAC","3.71","5.35","9.35","N/A","54,075","51,556","N/A","none","150.80M","28.19M","11.77M","N/A","N/A","N/A","1.06","-1.73","-1.73","1.50","2.24","5.16","N/A","6.01","25.51M","-27.90M","-29.42M","-115.37%","-112.05%","Dec 31","Jun 30, 2011","-45.94%","-438.79%","3.45","31.78","63.21M","N/A","N/A","N/A","N/A","45,543","5.24","6.77","29.20","14.02","248873.80","15.18"
"ANAD","2.19","2.29","8.20","2.08","648,783","418,033","-60.65%","-59.58%","155.29M","67.81M","65.31M","N/A","N/A","Mar 1, 2000","2.75","-0.27","-0.27","3.02","1.31","0.82","N/A","0.76","200.56M","3.62M","-18.07M","-9.01%","-7.83%","Dec 31","Jul 2, 2011","-4.60%","-9.61%","7.22","N/A","88.60M","3.89M","6.50%","3.65M","5.10","482,158","1.93","2.63","36.27","14.02","1011146.30","22.25"
"ANAT","65.71","67.46","89.25","1.45","21,822","19,111","-11.24%","-10.17%","1.79B","26.56M","12.21M","3.08","4.60%","N/A","139.74","6.04","6.04","116.18","Property & Casualty Insurance","0.47","11.17","0.57","3.09B","270.13M","164.44M","5.22%","7.56%","Dec 31","Jun 30, 2011","0.68%","4.62%","0.76","1.58","Financial","41.53K","0.60%","49.73K","1.50","14,671","67.02","71.46","6.62","14.02","1401723.30","-7.39"
"ANCB","6.10","6.10","11.28","N/A","3,440","1,678","N/A","none","14.94M","2.45M","2.02M","N/A","N/A","N/A","23.44","-3.28","-3.28","5.75","26.01","0.26","N/A","0.97","15.47M","N/A","-8.82M","-57.00%","-21.69%","Jun 30","Jun 30, 2011","-1.71%","-17.27%","N/A","N/A","63.76M","4.63K","N/A","4.30K","2.10","1,000","6.25","5.98","-4.32","14.02","30587.50","-18.34"
"ANCI","0.60","0.65","1.95","0.44","20,209","12,144","-60.12%","-59.05%","11.04M","16.99M","10.74M","N/A","N/A","N/A","1.20","-0.04","-0.04","3.27","0.67","0.57","N/A","0.21","55.26M","-86.00K","-681.00K","-1.23%","-1.54%","Dec 31","Jun 30, 2011","-2.00%","-3.38%","3.18","N/A","11.35M","6.37K","0.10%","6.85K","0.20","10,081","0.55","0.53","-3.64","14.02","18223.70","-17.65"
"ANCX","5.79","7.86","8.86","0.37","11,700","4,344","34.36%","35.43%","80.52M","10.24M","6.16M","0.16","2.00%","Dec 27, 2005","7.56","0.93","0.93","5.76","2.25","1.05","8.45","1.35","59.88M","N/A","9.64M","16.10%","25.42%","Dec 31","Jun 30, 2011","1.28%","13.00%","N/A","N/A","23.00M","18.26K","0.20%","20.10K","2.10","8,292","7.68","8.3355","8.54","14.02","112796.16","-5.48"
"ANDE","32.01","35.25","51.23","1.73","152,575","149,767","-12.07%","-11.00%","655.65M","18.60M","17.23M","0.44","1.20%","Jun 29, 2006","27.49","4.81","4.81","228.04","1.00","1.29","7.33","0.16","4.20B","166.83M","89.39M","2.14%","3.02%","Dec 31","Jun 30, 2011","5.87%","18.59%","1.57","95.39","18.62M","1.02M","5.80%","1.10M","4.40","123,233","30.70","36.92","20.26","14.02","7046939.40","6.24"
"ANDS","0.60","0.93","2.42","-0.71","285,934","362,156","-58.11%","-57.04%","53.17M","57.18M","25.92M","N/A","N/A","N/A","0.38","-0.40","-0.40","N/A","0.45","2.37","N/A","N/A","N/A","-23.24M","-21.24M","N/A","N/A","Dec 31","Jun 30, 2011","-57.84%","-108.44%","4.67","N/A","25.85M","653.06K","N/A","552.94K","1.80","176,117","0.82","3.68","348.78","14.02","184886.22","334.76"
"ANEN","15.85","18.59","22.67","0.45","107,583","118,944","11.65%","12.72%","261.19M","14.05M","12.89M","N/A","N/A","Nov 28, 2000","13.89","1.11","1.11","12.81","4.82","1.28","16.75","1.39","179.17M","31.92M","16.40M","9.15%","12.08%","Jun 30","Jun 30, 2011","5.48%","8.91%","4.88","15.38","67.70M","525.88K","3.80%","475.37K","4.40","190,274","19.34","19.13","-1.09","14.02","4100776.24","-15.10"
"ANF","37.23","62.14","78.25","1.76","2,824,960","2,350,100","60.20%","61.27%","5.40B","86.94M","85.79M","0.70","1.10%","Jun 16, 1999","21.70","2.20","2.20","43.24","6.21","2.85","28.21","1.42","3.79B","591.26M","199.01M","5.27%","9.45%","Jan 29","Jul 30, 2011","7.74%","10.74%","2.23","1.39","539.61M","5.69M","7.60%","6.68M","1.40","3,060,094","59.65","74.40","24.73","14.02","192989343.30","10.71"
"ANGN","3.80","4.35","6.00","1.09","8,518","5,622","1.16%","2.23%","17.04M","3.92M","2.71M","N/A","N/A","N/A","3.68","-0.04","-0.04","7.59","2.31","1.18","N/A","0.59","29.15M","480.00K","-133.00K","-0.46%","0.69%","Oct 31","Jul 31, 2011","0.60%","-0.90%","3.49","N/A","9.05M","1.82K","0.10%","1.72K","0.20","15,145","4.54","4.62","1.76","14.02","1816.00","-12.25"
"ANGO","12.60","12.81","17.73","0.60","140,595","188,000","-15.94%","-14.87%","320.08M","24.99M","24.79M","N/A","N/A","N/A","16.24","0.32","0.32","8.68","5.26","0.80","40.03","1.50","215.75M","31.72M","8.12M","3.76%","8.87%","May 31","May 31, 2011","2.78%","2.04%","7.62","1.87","131.54M","1.24M","5.00%","1.21M","8.00","643,224","13.00","15.41","18.54","14.02","3461432.00","4.52"
"ANH","6.33","6.73","7.74","0.20","2,337,680","1,498,600","-6.66%","-5.59%","889.14M","132.12M","129.29M","1.00","14.90%","N/A","7.09","0.88","0.88","1.06","0.11","0.95","7.61","6.91","128.61M","N/A","109.53M","89.71%","89.71%","Dec 31","Jun 30, 2011","1.56%","12.07%","0.01","738.28","14.49M","5.37M","4.40%","5.99M","2.10","1,689,270","6.39","6.45","0.94","14.02","26958617.64","-13.08"
"ANIK","5.30","5.43","11.67","1.51","30,685","19,956","-7.97%","-6.90%","69.62M","12.82M","10.27M","N/A","N/A","N/A","7.11","0.38","0.38","4.46","2.09","0.79","14.29","1.28","56.47M","11.87M","5.14M","9.11%","16.36%","Dec 31","Jun 30, 2011","4.52%","6.02%","3.31","13.17","26.83M","82.75K","0.70%","79.12K","2.30","27,175","5.48","6.03","10.04","14.02","382328.64","-3.98"
"ANLY","1.63","3.20","5.00","1.85","8,354","9,633","35.59%","36.66%","16.03M","5.01M","3.82M","N/A","N/A","Mar 1, 2010","3.00","0.35","0.35","20.93","0.82","1.03","9.16","0.15","104.54M","2.77M","1.77M","1.69%","1.94%","Jan 1","Jul 2, 2011","5.08%","12.61%","2.67","N/A","4.13M","5.88K","0.10%","6.69K","0.50","13,138","3.0999","3.77","21.62","14.02","2789.91","7.60"
"ANN","19.00","23.49","32.49","2.04","2,301,760","1,873,340","16.06%","17.13%","1.23B","52.23M","46.28M","N/A","N/A","May 27, 2004","7.54","1.50","1.50","38.80","2.78","2.92","15.62","0.55","2.10B","237.31M","82.90M","4.01%","6.81%","Jan 29","Jul 30, 2011","9.67%","19.48%","1.75","1.07","145.18M","9.44M","21.20%","7.30M","3.30","2,079,409","21.68","26.64","22.88","14.02","49968584.32","8.86"
"ANNB","3.42","3.85","4.50","0.50","1,429","989","-5.64%","-4.57%","14.97M","3.89M","1.89M","N/A","N/A","Dec 6, 2004","7.11","0.22","0.22","3.66","9.42","0.54","17.26","1.05","14.40M","N/A","907.00K","9.69%","18.58%","Dec 31","Jun 30, 2011","0.32%","3.95%","N/A","N/A","36.63M","1.83K","0.10%","1.83K","0.80","1,200","3.80","3.81","0.26","14.02","0.00","-13.75"
"ANO","0.42","0.60","1.69","3.27","203,017","107,856","-34.78%","-33.71%","254.85M","424.74M","79.18M","N/A","N/A","N/A","0.08","-0.18","-0.18","0.33","0.04","7.20","N/A","1.78","140.18M","-39.38M","-75.58M","-53.92%","-55.56%","Dec 31","Jun 30, 2011","-4.96%","-126.82%","1.73","1,728.65","18.69M","319.54K","1.20%","311.49K","2.40","131,100","0.55","0.54","-1.82","14.02","42654.15","-15.83"
"ANR","19.02","20.39","68.05","1.87","7,298,040","9,420,100","-50.53%","-49.46%","4.62B","226.43M","225.08M","N/A","N/A","N/A","37.14","0.29","0.29","36.67","6.33","0.53","69.83","0.95","4.72B","936.39M","36.86M","0.80%","7.91%","Dec 31","Jun 30, 2011","2.01%","0.67%","1.41","42.64","1.43B","12.98M","12.60%","12.02M","1.40","10,585,619","16.04","24.04","49.88","14.02","189177331.92","35.86"
"ANSS","40.63","49.82","57.50","1.20","494,522","495,056","16.73%","17.80%","4.59B","92.23M","91.53M","N/A","N/A","Jun 5, 2007","17.80","1.84","1.84","6.85","6.83","2.77","27.08","7.26","626.72M","307.51M","172.94M","27.60%","39.44%","Dec 31","Jun 30, 2011","7.37%","11.37%","2.46","9.07","630.26M","1.35M","1.50%","1.24M","2.20","438,525","46.52","54.36","16.85","14.02","31731571.12","2.84"
"ANTH","3.65","4.88","9.08","N/A","124,702","137,667","16.19%","17.26%","199.01M","40.78M","23.55M","N/A","N/A","N/A","1.75","-2.04","-2.04","N/A","2.75","2.70","N/A","N/A","N/A","-62.66M","-63.11M","N/A","N/A","Dec 31","Jun 30, 2011","-46.36%","-105.08%","5.31","33.55","112.10M","1.14M","6.40%","1.23M","10.30","63,362","4.72","6.35","34.53","14.02","706182.80","20.52"
"ANTP","2.11","2.15","6.37","1.46","4,438","4,033","-28.81%","-27.74%","4.97M","2.31M","1.96M","N/A","N/A","Feb 13, 1998","2.97","-0.15","-0.15","3.69","0.51","0.72","N/A","0.59","8.40M","1.07M","667.25K","-3.89%","11.18%","Jun 30","Jun 30, 2011","N/A","N/A","7.73","N/A","1.17M","1.61K","0.10%","1.70K","0.30","7,416","1.81","1.75","-3.31","14.02","10034.64","-17.33"
"ANV","21.99","36.11","45.90","1.52","975,382","1,071,320","31.31%","32.38%","3.22B","89.30M","81.28M","N/A","N/A","N/A","5.93","0.15","0.15","1.52","3.42","6.34","236.01","24.69","135.87M","19.06M","13.50M","9.94%","8.49%","Dec 31","Jun 30, 2011","1.27%","2.60%","13.90","4.61","305.26M","2.14M","3.00%","2.57M","2.40","1,433,254","34.83","37.98","9.04","14.02","32845142.79","-4.97"
"ANW","3.89","4.40","17.90","1.35","596,492","494,156","-74.39%","-73.32%","205.68M","46.75M","28.20M","0.04","0.90%","N/A","10.23","-0.00","-0.00","133.63","0.91","0.43","N/A","0.03","6.18B","48.43M","-96.00K","-0.00%","0.42%","Dec 31","Jun 30, 2011","1.20%","-0.02%","1.34","138.88","42.60M","1.74M","5.60%","1.46M","2.60","698,669","3.73","5.20","39.41","14.02","2742650.35","25.39"
"ANX","0.81","1.06","4.21","1.12","1,619,320","1,196,690","-46.19%","-45.12%","28.05M","26.46M","21.28M","N/A","N/A","Apr 26, 2010","1.75","-0.58","-0.58","0.03","1.59","0.59","N/A","56.29","488.96K","-9.52M","-11.48M","N/A","-1,952.93%","Dec 31","Jun 30, 2011","-14.45%","-29.86%","18.08","N/A","41.96M","1.51M","5.70%","1.44M","0.90","467,683","0.88","1.11","26.14","14.02","476893.12","12.12"
"AOA","none","30.49","none","none","none","none","none","none","-2.79%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","iShares","72.67M","none","none","none","none","none","none","none","none","none","7,278","29.30","33.78","15.29","14.02","789371.30","1.27"
"AOB","0.73","0.73","3.07","1.37","428,306","160,467","-68.53%","-67.46%","57.30M","78.47M","61.62M","N/A","N/A","N/A","5.70","0.17","0.17","3.75","0.96","0.14","4.30","0.22","280.95M","39.15M","12.60M","4.48%","9.52%","Dec 31","Jun 30, 2011","2.75%","2.94%","4.06","27.67","75.03M","2.86M","N/A","2.84M","7.70","188,839","0.57","0.7702","35.12","14.02","136683.15","21.11"
"AOD","none","4.58","none","none","none","none","none","none","N/A","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","1,007,091","4.38","4.90","11.87","14.02","7469984.88","-2.14"
"AOI","2.42","2.58","4.83","0.66","490,382","406,433","-34.02%","-32.95%","224.65M","87.07M","66.06M","N/A","N/A","N/A","3.64","-0.96","-0.96","22.52","0.81","0.69","N/A","0.11","1.96B","122.77M","-84.05M","-4.28%","4.92%","Mar 31","Jun 30, 2011","2.91%","-23.31%","1.91","386.11","70.39M","7.44M","10.10%","7.19M","15.20","227,388","2.31","2.67","15.58","14.02","1336771.59","1.57"
"AOK","none","28.71","none","none","none","none","none","none","2.77%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","iShares","61.13M","none","none","none","none","none","none","none","none","none","22,900","28.48","29.37","3.13","14.02","412475.84","-10.89"
"AOL","10.06","11.91","27.65","N/A","2,650,300","3,174,060","-50.31%","-49.24%","1.27B","106.97M","105.22M","N/A","N/A","N/A","21.72","2.16","2.16","21.10","4.29","0.52","5.51","0.53","2.25B","463.00M","230.00M","10.24%","8.69%","Dec 31","Jun 30, 2011","4.17%","10.56%","1.86","5.16","458.70M","16.94M","N/A","14.82M","4.30","3,105,430","11.40","14.12","23.86","14.02","38868949.80","9.84"
"AOM","none","29.02","none","none","none","none","none","none","1.19%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","iShares","97.23M","none","none","none","none","none","none","none","none","none","13,679","28.672","30.09","4.95","14.02","255897.60","-9.07"
"AON","38.56","40.00","54.58","0.51","2,436,780","2,857,790","1.39%","2.46%","13.07B","326.69M","325.30M","0.60","1.50%","May 18, 1999","25.71","2.67","2.67","31.71","2.50","1.57","15.01","1.28","10.28B","2.01B","876.00M","8.55%","14.84%","Dec 31","Jun 30, 2011","3.50%","13.01%","1.14","53.53","815.00M","3.96M","1.20%","3.19M","1.30","3,106,829","40.62","46.62","14.77","14.02","159569292.66","0.75"
"AONE","2.99","4.06","10.99","N/A","2,273,200","2,026,020","-56.62%","-55.55%","511.68M","126.03M","94.99M","N/A","N/A","N/A","3.27","-1.80","-1.80","0.95","2.34","1.16","N/A","4.56","104.69M","-165.73M","-198.35M","-189.47%","-185.04%","Dec 31","Jun 30, 2011","-18.30%","-44.54%","3.69","42.44","294.87M","16.75M","22.60%","16.84M","5.10","1,498,945","3.02","3.43","13.58","14.02","7073389.64","-0.44"
"AOR","none","29.59","none","none","none","none","none","none","-0.30%","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","iShares","99.50M","none","none","none","none","none","none","none","none","none","3,770","29.37","31.36","6.78","14.02","216809.34","-7.24"
"AOS","33.81","34.23","45.80","0.93","456,368","705,389","-10.84%","-9.77%","1.58B","46.21M","31.87M","0.64","1.90%","Nov 16, 2010","20.99","3.35","3.35","34.17","2.34","1.63","10.22","1.01","1.57B","163.40M","89.60M","9.90%","7.65%","Dec 31","Jun 30, 2011","3.65%","9.98%","1.85","38.72","108.20M","2.27M","6.00%","1.90M","5.00","411,768","30.43","37.16","22.12","14.02","22252424.38","8.10"
"AOSL","7.30","7.68","14.60","N/A","97,403","50,856","-32.63%","-31.56%","188.93M","24.60M","17.10M","N/A","N/A","N/A","10.60","1.51","1.51","15.38","3.53","0.70","5.09","0.51","361.31M","54.85M","37.83M","10.47%","10.57%","Jun 30","Jun 30, 2011","7.87%","16.82%","2.43","0.17","86.71M","536.49K","N/A","518.10K","6.70","24,377","7.40","8.45","14.19","14.02","714477.40","0.17"
"AP","17.75","19.68","29.84","2.27","33,582","39,911","-19.21%","-18.14%","203.20M","10.32M","8.71M","0.72","3.70%","N/A","20.68","1.42","1.42","33.61","7.30","0.93","13.86","0.58","345.74M","53.20M","14.67M","4.24%","12.71%","Dec 31","Jun 30, 2011","5.37%","7.20%","2.50","6.24","75.36M","297.64K","5.10%","269.87K","8.50","28,696","18.37","20.99","14.26","14.02","670284.56","0.25"
"APA","81.80","82.73","134.13","1.27","3,269,210","4,633,100","-15.69%","-14.62%","31.76B","383.93M","382.10M","0.60","0.70%","Jan 15, 2004","66.28","9.95","9.95","38.84","2.88","1.26","8.31","2.21","14.56B","10.90B","3.79B","26.51%","48.67%","Dec 31","Jun 30, 2011","11.51%","17.41%","1.09","29.45","1.11B","7.35M","N/A","6.60M","1.90","5,643,707","76.50","99.63","30.24","14.02","368484817.50","16.22"
"APAC","4.92","8.51","8.53","1.08","1,267,380","478,189","59.66%","60.73%","436.74M","51.32M","28.99M","N/A","N/A","May 16, 1996","2.48","0.43","0.43","6.42","1.01","3.43","19.79","1.31","333.86M","47.56M","23.43M","7.02%","10.82%","Jan 2","Jul 3, 2011","14.06%","19.51%","3.00","0.43","52.04M","1.48M","4.80%","1.50M","2.00","960,502","8.51","0.00","-100.00","14.02","14596062.66","-114.02"
"APAGF","26.60","73.07","93.29","1.73","25,668","23,367","154.60%","155.67%","2.15B","29.44M","9.14M","0.08","0.10%","Nov 19, 2007","8.29","1.04","1.04","3.19","1.18","8.47","70.39","22.00","93.85M","40.58M","30.55M","32.55%","23.49%","Dec 31","Jun 30, 2011","5.52%","13.28%","3.20","0.82","34.81M","359.37K","N/A","325.82K","14.30","20,943","71.92","83.00","15.41","14.02","1671924.24","1.39"
"APB","9.19","9.31","12.63","1.23","14,711","6,567","-14.04%","-12.97%","96.30M","10.34M","N/A","N/A","N/A","N/A","13.06","2.09","2.09","0.18","0.01","0.72","4.45","53.43","1.82M","N/A","21.64M","1,190.15%","-32.42%","Mar 31","Mar 31, 2009","-0.29%","17.41%","2.29","N/A","82.58K","43.19K","N/A","50.40K","2.30","8,912","8.99","10.35","15.13","14.02","407426.80","1.11"
"APC","55.65","66.58","85.50","1.51","4,442,290","4,755,100","16.77%","17.84%","33.14B","497.81M","496.57M","0.36","0.50%","May 30, 2006","43.13","1.68","1.68","24.39","6.84","1.59","39.54","2.83","12.11B","6.37B","841.00M","6.98%","20.11%","Dec 31","Jun 30, 2011","2.95%","4.22%","1.67","59.18","3.41B","8.34M","1.70%","7.05M","1.60","4,710,787","60.53","78.50","29.69","14.02","410553683.44","15.67"
"APD","74.58","76.72","98.00","1.25","1,548,810","1,575,910","-8.88%","-7.81%","16.35B","213.13M","212.76M","2.32","3.00%","Jun 16, 1998","29.24","5.37","5.37","46.04","2.07","2.61","14.28","1.65","9.82B","2.48B","1.16B","11.93%","16.34%","Sep 30","Jun 30, 2011","7.31%","20.09%","1.56","69.80","440.90M","2.66M","1.20%","2.47M","1.40","2,102,699","73.87","86.14","16.61","14.02","151217504.12","2.59"
"APEI","26.15","34.76","49.29","0.49","167,045","203,067","8.35%","9.42%","619.84M","17.83M","16.77M","N/A","N/A","N/A","6.17","1.74","1.74","12.41","5.30","5.52","19.98","2.71","224.07M","60.99M","32.03M","14.29%","23.71%","Dec 31","Jun 30, 2011","22.65%","30.45%","2.72","N/A","94.50M","1.82M","10.40%","1.50M","7.60","199,452","32.53","35.81","10.08","14.02","9174013.01","-3.93"
"APF","13.85","14.05","17.90","1.17","37,239","26,344","-9.35%","-8.28%","304.76M","21.69M","N/A","0.57","4.10%","N/A","19.12","4.73","4.73","Closed-End Fund - Foreign","0.10","0.73","2.97","29.30","Financial","N/A","102.53M","990.86%","38.35%","Dec 31","Jun 30, 2011","0.55%","22.80%","2.89","N/A","2.23M","92.08K","N/A","100.91K","2.40","39,161","13.77","15.46","12.27","14.02","652780.62","-1.74"
"APFC","4.05","6.61","9.97","1.15","12,303","15,367","55.53%","56.60%","49.96M","7.56M","6.88M","N/A","N/A","N/A","7.04","-1.25","-1.25","23.23","3.15","0.96","N/A","0.29","174.44M","12.46M","-9.38M","-5.38%","-1.77%","Sep 30","Jun 30, 2011","-0.72%","-15.72%","1.88","197.55","23.77M","64.21K","1.10%","63.97K","6.80","23,803","7.10","9.24","30.14","14.02","59561.90","16.12"
"APH","40.02","41.73","59.11","1.29","1,652,520","1,781,440","-14.35%","-13.28%","7.09B","169.92M","168.86M","0.06","0.10%","Apr 2, 2007","13.51","3.09","3.09","22.21","4.10","3.11","13.51","1.85","3.86B","873.40M","544.09M","14.11%","19.78%","Dec 31","Jun 30, 2011","12.10%","25.59%","3.47","50.14","696.55M","8.28M","5.50%","6.48M","3.90","1,957,656","39.80","47.49","19.32","14.02","92135567.20","5.31"
"API","0.79","0.97","2.74","1.58","71,637","33,211","18.29%","19.36%","29.83M","30.75M","23.22M","N/A","N/A","N/A","0.66","-0.06","-0.06","1.10","0.11","1.52","N/A","1.00","30.70M","1.54M","-1.59M","-5.18%","-3.24%","Mar 31","Jul 1, 2011","-2.37%","-9.11%","2.29","19.43","3.36M","102.81K","0.40%","117.68K","1.30","41,131","0.8976","0.87","-3.07","14.02","83084.55","-17.09"
"APKT","33.07","44.92","84.50","1.54","2,545,790","2,145,220","17.16%","18.23%","2.97B","66.19M","53.83M","N/A","N/A","N/A","6.00","0.75","0.75","4.35","4.74","7.31","60.05","10.35","280.55M","91.21M","52.69M","18.78%","29.48%","Dec 31","Jun 30, 2011","13.66%","16.24%","7.87","N/A","313.43M","2.48M","4.60%","2.64M","0.80","1,446,965","40.15","36.21","-9.81","14.02","85150641.95","-23.83"
